id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weighing_approach,item_nsu_hetero_type,unit,weight,raw_canonical,published,corrected_unit,magnitude_corrected,decades_moved,snap_rule,snap_referee,snap_block,disputed,step1_flagged,unusable,any_uncertainty,cleaning_notes
46,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,"Price-quantity based (lower, median, higher price)",municipality_median,2,750.0,750.0,750.0,mL,False,0.0,log10 median,prov,0,False,False,False,False,
45,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,"Price-quantity based (lower, median, higher price)",municipality_median,2,750.0,750.0,750.0,mL,False,0.0,log10 median,prov,0,False,False,False,False,
43,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,"Price-quantity based (lower, median, higher price)",municipality_median,3,1.0,1000.0,1000.0,mL,False,0.0,log10 median,prov,0,False,False,False,False,
44,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,"Price-quantity based (lower, median, higher price)",municipality_median,2,750.0,750.0,750.0,mL,False,0.0,log10 median,prov,0,False,False,False,False,
50,AKLAN,ALTAVAS,loaf bread,large packs,"Size-based (small, medium, large)",large_size,2,640.0,640.0,640.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
47,AKLAN,ALTAVAS,loaf bread,large packs,"Size-based (small, medium, large)",large_size,2,640.0,640.0,640.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
49,AKLAN,ALTAVAS,loaf bread,large packs,"Size-based (small, medium, large)",large_size,2,640.0,640.0,640.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
48,AKLAN,ALTAVAS,loaf bread,large packs,"Size-based (small, medium, large)",large_size,2,640.0,640.0,640.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
56,AKLAN,ALTAVAS,loaf bread,medium packs,"Size-based (small, medium, large)",medium_size,2,450.0,450.0,450.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
55,AKLAN,ALTAVAS,loaf bread,medium packs,"Size-based (small, medium, large)",medium_size,2,450.0,450.0,450.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
57,AKLAN,ALTAVAS,loaf bread,medium packs,"Size-based (small, medium, large)",medium_size,2,450.0,450.0,450.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
54,AKLAN,ALTAVAS,loaf bread,medium packs,"Size-based (small, medium, large)",medium_size,2,450.0,450.0,450.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
52,AKLAN,ALTAVAS,loaf bread,small packs,"Size-based (small, medium, large)",small_size,2,350.0,350.0,350.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
51,AKLAN,ALTAVAS,loaf bread,small packs,"Size-based (small, medium, large)",small_size,2,360.0,360.0,360.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
53,AKLAN,ALTAVAS,loaf bread,small packs,"Size-based (small, medium, large)",small_size,2,400.0,400.0,400.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
58,AKLAN,ALTAVAS,pork,slice,"Size-based (small, medium, large)",small_size,2,0.16,0.16,160.0,g,True,3.0,anchor default,,0,False,True,False,True,
60,AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.13,0.13,130.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
61,AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.135,0.135,135.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
59,AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.18,0.18,180.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
63,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,0.07,0.07,70.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
64,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,0.07,0.07,70.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
62,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,0.065,0.065,65.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
