pull_item,pull_province,harmonized_nsu_unit,n_price,n_mun,fallback_status
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,plastic cup,,,refused: no group
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,tupperware,,,refused: no group
"liquor (e.g, whisky, coconut wine)",ILOILO,junior lapad,,,refused: no group
pork,ILOILO,1 serve,,,refused: no group
pork,ILOILO,pieces or units,,,refused: no group
pork,ILOILO,slice,,,refused: no group
pork,ILOILO,stick,,,refused: no group
"prawns, lobster, shrimp",ILOILO,pack,,,refused: no group
"prawns, lobster, shrimp",ILOILO,pieces or units,,,refused: no group
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,cans,2,1,refused: no ray
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,pack,2,1,refused: no ray
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,pieces or units,,,refused: no group
rice,ILOILO,gantang,,,refused: no group
rice,ILOILO,letse,,,refused: no group
rice,ILOILO,sack of rice,,,refused: no group
rice,ILOILO,salmon,,,refused: no group
cabbage,NEGROS OCCIDENTAL,pack,,,refused: no group
camote,NEGROS OCCIDENTAL,bilog,,,refused: no group
camote tops,NEGROS OCCIDENTAL,bugkos,,,refused: no group
camote tops,NEGROS OCCIDENTAL,bundle,,,refused: no group
carrot,NEGROS OCCIDENTAL,pieces or units,1,1,refused: no ray
chicken,NEGROS OCCIDENTAL,pieces or units,,,refused: no group
"drinks at restaurant, hotel, cafe, or kiosk",NEGROS OCCIDENTAL,pieces,,,refused: no group
fresh fish,NEGROS OCCIDENTAL,pieces or units,2,1,refused: no ray
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NEGROS OCCIDENTAL,cone,,,refused: no group
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NEGROS OCCIDENTAL,putos,1,1,refused: no ray
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NEGROS OCCIDENTAL,tupperware,,,refused: no group
"liquor (e.g, whisky, coconut wine)",NEGROS OCCIDENTAL,long-neck,1,1,refused: no ray
mango,NEGROS OCCIDENTAL,pieces or units,,,refused: no group
"prawns, lobster, shrimp",NEGROS OCCIDENTAL,tumpok,3,1,refused: no ray
"preserved or processed meat (tocino, tapa, longaniza, etc)",NEGROS OCCIDENTAL,cans,,,refused: no group
"preserved or processed meat (tocino, tapa, longaniza, etc)",NEGROS OCCIDENTAL,pack,,,refused: no group
