pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,pieces or units,12,province_median,65,12.10129893909801,5.371324212972866,11,3,4,5.784502998586163,70,1.076923076923077
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,pieces or units,12,province_median,185,12.10129893909801,15.287615067692,11,3,4,5.784502998586163,70,.3783783783783784
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,115,municipality_median,305,115.9707814996893,2.629972791903771,40,10,7,3,347.9123444990678,1.140696211472354
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,115,municipality_median,310,115.9707814996893,2.673087099967767,40,10,7,3,347.9123444990678,1.122297885480864
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,115,municipality_median,250,115.9707814996893,2.155715403199812,40,10,7,3,347.9123444990678,1.391649377996271
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,115,municipality_median,305,115.9707814996893,2.629972791903771,40,10,7,3,347.9123444990678,1.140696211472354
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,115,municipality_median,500,115.9707814996893,4.311430806399624,40,10,7,3,347.9123444990678,.6958246889981357
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,115,municipality_median,360,115.9707814996893,3.104230180607729,40,10,7,3,347.9123444990678,.9664231791640774
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,putos,60,municipality_median,330,60,5.5,59,8,9,4.615384615384615,276.9230769230769,.8391608391608391
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,putos,60,municipality_median,300,60,5,59,8,9,4.615384615384615,276.9230769230769,.923076923076923
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,putos,60,municipality_median,250,60,4.166666666666667,59,8,9,4.615384615384615,276.9230769230769,1.107692307692308
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,putos,60,municipality_median,200,60,3.333333333333333,59,8,9,4.615384615384615,276.9230769230769,1.384615384615385
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,putos,60,municipality_median,330,60,5.5,59,8,9,4.615384615384615,276.9230769230769,.8391608391608391
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,putos,60,municipality_median,330,60,5.5,59,8,9,4.615384615384615,276.9230769230769,.8391608391608391
