pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,point_id,p_g,n_merged,has_mp25,has_mp50,has_mp75,has_mun_med,has_prov_med,has_unique,d_uniq_weighed,branch,d_point_unconvertible,n_points,n_points_conv
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,pieces or units,1,37.5,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,pieces or units,2,94.5,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,putos,1,62.5,2,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,putos,2,132.5,1,0,0,1,0,0,0,0,2,0,2,2
AKLAN,fresh fish,IBAJAY,pieces or units,1,100,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",IBAJAY,pieces or units,1,105,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",IBAJAY,putos,1,50,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",IBAJAY,small cup,1,90,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,1,75,1,0,0,0,0,1,0,0,3,0,3,1
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,2,160,1,0,0,0,0,0,1,0,3,1,3,1
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,3,225,1,0,0,0,0,0,1,0,3,1,3,1
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,long-neck,1,130,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,long-neck,2,236,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,IBAJAY,large packs,1,60,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,loaf bread,IBAJAY,medium packs,1,50,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,loaf bread,IBAJAY,small packs,1,50,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,mango,IBAJAY,pieces or units,1,60,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"prawns, lobster, shrimp",IBAJAY,tumpok,1,55,2,0,0,0,0,1,1,0,3,0,2,1
AKLAN,"prawns, lobster, shrimp",IBAJAY,tumpok,2,100,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,pieces or units,1,45,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,pieces or units,2,84,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,putos,1,110,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,putos,2,150,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,cabbage,LIBACAO,pieces or units,1,80,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,camote tops,LIBACAO,bugkos,1,20,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,camote tops,LIBACAO,bundle,1,30,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,carrot,LIBACAO,pieces or units,1,30,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,chicken,LIBACAO,pieces or units,1,350,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,chicken,LIBACAO,pieces or units,2,400,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,chicken,LIBACAO,pieces or units,3,700,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,chicken,LIBACAO,whole (chicken),1,250,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,chicken,LIBACAO,whole (chicken),2,400,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",LIBACAO,pieces or units,1,70,1,0,0,0,1,0,0,0,2,0,1,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",LIBACAO,putos,1,60,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,fresh fish,LIBACAO,pieces or units,1,100,1,0,0,0,0,1,0,0,3,0,3,1
AKLAN,fresh fish,LIBACAO,pieces or units,2,135,1,0,0,0,0,0,1,0,3,1,3,1
AKLAN,fresh fish,LIBACAO,pieces or units,3,280,1,0,0,0,0,0,1,0,3,1,3,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,putos,1,8,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,putos,2,30,1,0,0,0,0,1,0,0,3,0,2,1
