pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,weighing_approach,w_l1,n_l1,w_l2,n_l2,w_l3,n_l3,grams_used,n_g_used,fallback_level,unconvertible
loaf bread,ILOILO,DINGLE,small packs,g,small,400,3,3,400,3,385,123,370,259,400,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DINGLE,bilog,g,small,250,4,3,250,4,250,116,229,222,250,4,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DINGLE,pack,g,small,250,3,3,250,4,250,70,250,85,250,4,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DINGLE,pack,g,medium,500,1,3,250,4,250,70,250,85,250,4,cell pooled across sizes,0
cabbage,ILOILO,DUEAS,pieces or units,g,small,540,7,3,695,21,660,543,655,1306,540,7,own cell x size,0
cabbage,ILOILO,DUEAS,pieces or units,g,medium,717.5,8,3,695,21,660,543,655,1306,717.5,8,own cell x size,0
cabbage,ILOILO,DUEAS,pieces or units,g,large,902.5,6,3,695,21,660,543,655,1306,902.5,6,own cell x size,0
camote,ILOILO,DUEAS,bilog,g,small,100,4,3,147.5,12,140,296,140,509,100,4,own cell x size,0
camote,ILOILO,DUEAS,bilog,g,medium,150,5,3,147.5,12,140,296,140,509,150,5,own cell x size,0
camote,ILOILO,DUEAS,bilog,g,large,325,3,3,147.5,12,140,296,140,509,325,3,own cell x size,0
camote tops,ILOILO,DUEAS,bugkos,g,small,155,5,3,155,5,170,218,195,449,155,5,own cell x size,0
carrot,ILOILO,DUEAS,pieces or units,g,small,100,8,3,122.5,22,135,538,140,1169,100,8,own cell x size,0
carrot,ILOILO,DUEAS,pieces or units,g,medium,127.5,8,3,122.5,22,135,538,140,1169,127.5,8,own cell x size,0
carrot,ILOILO,DUEAS,pieces or units,g,large,167.5,6,3,122.5,22,135,538,140,1169,167.5,6,own cell x size,0
chicken,ILOILO,DUEAS,whole (chicken),g,medium,955,3,3,1130,5,1035,180,1120,468,1130,5,cell pooled across sizes,0
chicken,ILOILO,DUEAS,whole (chicken),g,large,1310,2,3,1130,5,1035,180,1120,468,1130,5,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,balde,g,small,1300,2,3,1500,3,1500,3,1500,5,1500,3,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,balde,g,medium,2400,1,3,1500,3,1500,3,1500,5,1500,3,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,putos,g,small,23,8,3,42.5,20,100,230,210,482,23,8,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,putos,g,medium,50,6,3,42.5,20,100,230,210,482,50,6,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,putos,g,large,87.5,6,3,42.5,20,100,230,210,482,87.5,6,own cell x size,0
fresh fish,ILOILO,DUEAS,pieces or units,g,small,100,3,3,565,9,390,368,390,685,565,9,cell pooled across sizes,0
fresh fish,ILOILO,DUEAS,pieces or units,g,medium,577.5,4,3,565,9,390,368,390,685,565,9,cell pooled across sizes,0
fresh fish,ILOILO,DUEAS,pieces or units,g,large,702.5,2,3,565,9,390,368,390,685,565,9,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,pieces or units,mL,small,110,3,3,110,3,100,60,100,166,110,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,putos,g,small,350,1,3,350,1,60,52,58,82,60,52,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,putos,mL,small,550,4,3,550,4,65,60,65,148,550,4,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,small cup,mL,small,110,4,3,120,5,100,75,100,185,120,5,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,small cup,mL,medium,350,1,3,120,5,100,75,100,185,120,5,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DUEAS,lipid/lapad,mL,medium,375,8,3,375,8,375,267,375,618,375,8,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DUEAS,long-neck,mL,medium,750,8,3,750,10,750,185,750,478,750,10,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DUEAS,long-neck,mL,large,1000,2,3,750,10,750,185,750,478,750,10,cell pooled across sizes,0
loaf bread,ILOILO,DUEAS,large packs,g,large,667.5,8,3,667.5,8,640,188,640,411,667.5,8,own cell x size,0
loaf bread,ILOILO,DUEAS,medium packs,g,medium,500,6,3,500,6,450,160,450,352,500,6,own cell x size,0
loaf bread,ILOILO,DUEAS,small packs,g,small,360,8,3,360,8,385,123,370,259,360,8,own cell x size,0
loaf bread,ILOILO,DUEAS,tama-tama nga putos,g,medium,345,3,3,345,3,450,16,450,23,345,3,own cell x size,0
mango,ILOILO,DUEAS,pieces or units,g,small,207.5,4,3,270,12,230,289,230,539,207.5,4,own cell x size,0
mango,ILOILO,DUEAS,pieces or units,g,medium,275,5,3,270,12,230,289,230,539,275,5,own cell x size,0
mango,ILOILO,DUEAS,pieces or units,g,large,340,3,3,270,12,230,289,230,539,340,3,own cell x size,0
"prawns, lobster, shrimp",ILOILO,DUEAS,tumpok,g,medium,230,1,3,230,1,250,55,260,147,250,55,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUEAS,bilog,g,small,250,5,3,250,5,250,116,229,222,250,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUEAS,putos,g,small,250,5,3,250,5,250,182,250,473,250,5,own cell x size,0
rice,ILOILO,DUEAS,gantang,g,conventional_nsu,2250,7,1,2250,7,2245,19,2247.5,28,2250,7,own cell x size,0
cabbage,ILOILO,DUMANGAS,pieces or units,g,small,537.5,2,3,705,6,660,543,655,1306,705,6,cell pooled across sizes,0
cabbage,ILOILO,DUMANGAS,pieces or units,g,medium,760,3,3,705,6,660,543,655,1306,705,6,cell pooled across sizes,0
cabbage,ILOILO,DUMANGAS,pieces or units,g,large,870,1,3,705,6,660,543,655,1306,705,6,cell pooled across sizes,0
camote tops,ILOILO,DUMANGAS,bugkos,g,small,140,2,3,140,2,170,218,195,449,170,218,province x item x unit,0
carrot,ILOILO,DUMANGAS,pieces or units,g,small,102.5,2,3,145,6,135,538,140,1169,145,6,cell pooled across sizes,0
carrot,ILOILO,DUMANGAS,pieces or units,g,medium,150,3,3,145,6,135,538,140,1169,145,6,cell pooled across sizes,0
carrot,ILOILO,DUMANGAS,pieces or units,g,large,240,1,3,145,6,135,538,140,1169,145,6,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUMANGAS,cone,mL,small,105,2,3,105,2,110,20,110,25,110,20,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUMANGAS,pieces or units,mL,small,54,4,3,54,4,100,60,100,166,54,4,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUMANGAS,small cup,mL,small,140,2,3,140,2,100,75,100,185,100,75,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DUMANGAS,lipid/lapad,mL,medium,375,2,3,375,2,375,267,375,618,375,267,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DUMANGAS,long-neck,mL,large,750,2,3,750,2,750,185,750,478,750,185,province x item x unit,0
loaf bread,ILOILO,DUMANGAS,large packs,g,large,640,2,3,640,2,640,188,640,411,640,188,province x item x unit,0
loaf bread,ILOILO,DUMANGAS,medium packs,g,medium,400,1,3,400,1,450,160,450,352,450,160,province x item x unit,0
loaf bread,ILOILO,DUMANGAS,small packs,g,small,220,2,3,220,2,385,123,370,259,385,123,province x item x unit,0
mango,ILOILO,DUMANGAS,pieces or units,g,small,192.5,2,3,210,6,230,289,230,539,210,6,cell pooled across sizes,0
mango,ILOILO,DUMANGAS,pieces or units,g,medium,215,3,3,210,6,230,289,230,539,210,6,cell pooled across sizes,0
mango,ILOILO,DUMANGAS,pieces or units,g,large,270,1,3,210,6,230,289,230,539,210,6,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,bilog,g,small,200,1,3,200,1,250,116,229,222,250,116,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,pack,g,small,285,1,3,285,1,250,70,250,85,250,70,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,putos,g,medium,560,1,3,620,2,250,182,250,473,250,182,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,putos,g,large,680,1,3,620,2,250,182,250,473,250,182,province x item x unit,0
cabbage,ILOILO,ESTANCIA,pack,g,small,205,1,3,205,1,135,26,150,43,135,26,province x item x unit,0
cabbage,ILOILO,ESTANCIA,pieces or units,g,small,327.5,4,3,625,12,660,543,655,1306,327.5,4,own cell x size,0
cabbage,ILOILO,ESTANCIA,pieces or units,g,medium,705,5,3,625,12,660,543,655,1306,705,5,own cell x size,0
cabbage,ILOILO,ESTANCIA,pieces or units,g,large,950,3,3,625,12,660,543,655,1306,950,3,own cell x size,0
camote tops,ILOILO,ESTANCIA,bugkos,g,small,152.5,4,3,317.5,10,170,218,195,449,317.5,10,cell pooled across sizes,0
camote tops,ILOILO,ESTANCIA,bugkos,g,medium,342.5,4,3,317.5,10,170,218,195,449,317.5,10,cell pooled across sizes,0
camote tops,ILOILO,ESTANCIA,bugkos,g,large,632.5,2,3,317.5,10,170,218,195,449,317.5,10,cell pooled across sizes,0
carrot,ILOILO,ESTANCIA,pieces or units,g,small,85,5,3,120,11,135,538,140,1169,85,5,own cell x size,0
carrot,ILOILO,ESTANCIA,pieces or units,g,medium,145,3,3,120,11,135,538,140,1169,145,3,own cell x size,0
carrot,ILOILO,ESTANCIA,pieces or units,g,large,265,3,3,120,11,135,538,140,1169,265,3,own cell x size,0
chicken,ILOILO,ESTANCIA,whole (chicken),g,small,810,3,3,930,9,1035,180,1120,468,930,9,cell pooled across sizes,0
chicken,ILOILO,ESTANCIA,whole (chicken),g,medium,977.5,4,3,930,9,1035,180,1120,468,930,9,cell pooled across sizes,0
chicken,ILOILO,ESTANCIA,whole (chicken),g,large,1237.5,2,3,930,9,1035,180,1120,468,930,9,cell pooled across sizes,0
fresh fish,ILOILO,ESTANCIA,pieces or units,g,small,125,5,3,160,15,390,368,390,685,125,5,own cell x size,0
fresh fish,ILOILO,ESTANCIA,pieces or units,g,medium,167.5,6,3,160,15,390,368,390,685,167.5,6,own cell x size,0
fresh fish,ILOILO,ESTANCIA,pieces or units,g,large,262.5,4,3,160,15,390,368,390,685,262.5,4,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ESTANCIA,cone,mL,small,110,3,3,110,3,110,20,110,25,110,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ESTANCIA,pieces or units,mL,small,600,3,3,600,3,100,60,100,166,600,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ESTANCIA,small cup,mL,small,100,3,3,100,3,100,75,100,185,100,3,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ILOILO,ESTANCIA,lipid/lapad,mL,medium,375,7,3,375,7,375,267,375,618,375,7,own cell x size,0
loaf bread,ILOILO,ESTANCIA,large packs,g,large,640,3,3,640,3,640,188,640,411,640,3,own cell x size,0
loaf bread,ILOILO,ESTANCIA,medium packs,g,medium,450,3,3,450,3,450,160,450,352,450,3,own cell x size,0
loaf bread,ILOILO,ESTANCIA,small packs,g,small,220,1,3,220,1,385,123,370,259,385,123,province x item x unit,0
mango,ILOILO,ESTANCIA,pieces or units,g,small,185,4,3,232.5,12,230,289,230,539,185,4,own cell x size,0
mango,ILOILO,ESTANCIA,pieces or units,g,medium,235,5,3,232.5,12,230,289,230,539,235,5,own cell x size,0
mango,ILOILO,ESTANCIA,pieces or units,g,large,310,3,3,232.5,12,230,289,230,539,310,3,own cell x size,0
"prawns, lobster, shrimp",ILOILO,ESTANCIA,tumpok,g,small,65,3,3,145,9,250,55,260,147,145,9,cell pooled across sizes,0
"prawns, lobster, shrimp",ILOILO,ESTANCIA,tumpok,g,medium,152.5,4,3,145,9,250,55,260,147,145,9,cell pooled across sizes,0
"prawns, lobster, shrimp",ILOILO,ESTANCIA,tumpok,g,large,237.5,2,3,145,9,250,55,260,147,145,9,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ESTANCIA,bilog,g,large,70,2,3,70,2,250,116,229,222,250,116,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ESTANCIA,putos,g,small,250,5,3,250,6,250,182,250,473,250,6,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ESTANCIA,putos,g,large,1000,1,3,250,6,250,182,250,473,250,6,cell pooled across sizes,0
cabbage,ILOILO,GUIMBAL,pieces or units,g,small,385,9,3,570,27,660,543,655,1306,385,9,own cell x size,0
cabbage,ILOILO,GUIMBAL,pieces or units,g,medium,587.5,10,3,570,27,660,543,655,1306,587.5,10,own cell x size,0
cabbage,ILOILO,GUIMBAL,pieces or units,g,large,785,8,3,570,27,660,543,655,1306,785,8,own cell x size,0
camote tops,ILOILO,GUIMBAL,bugkos,g,small,135,9,3,135,9,170,218,195,449,135,9,own cell x size,0
carrot,ILOILO,GUIMBAL,pieces or units,g,small,100,9,3,122.5,24,135,538,140,1169,100,9,own cell x size,0
carrot,ILOILO,GUIMBAL,pieces or units,g,medium,125,8,3,122.5,24,135,538,140,1169,125,8,own cell x size,0
carrot,ILOILO,GUIMBAL,pieces or units,g,large,205,7,3,122.5,24,135,538,140,1169,205,7,own cell x size,0
chicken,ILOILO,GUIMBAL,bilog,g,small,200,6,3,200,6,1072.5,130,1095,230,200,6,own cell x size,0
chicken,ILOILO,GUIMBAL,whole (chicken),g,small,857.5,4,3,1180,12,1035,180,1120,468,857.5,4,own cell x size,0
chicken,ILOILO,GUIMBAL,whole (chicken),g,medium,1225,5,3,1180,12,1035,180,1120,468,1225,5,own cell x size,0
chicken,ILOILO,GUIMBAL,whole (chicken),g,large,1575,3,3,1180,12,1035,180,1120,468,1575,3,own cell x size,0
fresh fish,ILOILO,GUIMBAL,pieces or units,g,small,390,5,3,530,11,390,368,390,685,390,5,own cell x size,0
fresh fish,ILOILO,GUIMBAL,pieces or units,g,medium,565,3,3,530,11,390,368,390,685,565,3,own cell x size,0
fresh fish,ILOILO,GUIMBAL,pieces or units,g,large,650,3,3,530,11,390,368,390,685,650,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,GUIMBAL,pieces or units,g,small,100,2,3,110,3,55,59,60,94,110,3,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,GUIMBAL,pieces or units,g,medium,135,1,3,110,3,55,59,60,94,110,3,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,GUIMBAL,small cup,g,small,125,1,3,125,1,100,71,100,120,100,71,province x item x unit,0
loaf bread,ILOILO,GUIMBAL,large packs,g,large,645,7,3,645,7,640,188,640,411,645,7,own cell x size,0
loaf bread,ILOILO,GUIMBAL,medium packs,g,medium,465,5,3,465,5,450,160,450,352,465,5,own cell x size,0
loaf bread,ILOILO,GUIMBAL,small packs,g,small,262.5,2,3,450,5,385,123,370,259,450,5,cell pooled across sizes,0
loaf bread,ILOILO,GUIMBAL,small packs,g,medium,512.5,2,3,450,5,385,123,370,259,450,5,cell pooled across sizes,0
loaf bread,ILOILO,GUIMBAL,small packs,g,large,720,1,3,450,5,385,123,370,259,450,5,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,GUIMBAL,putos,g,small,185,5,3,325,15,250,182,250,473,185,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,GUIMBAL,putos,g,medium,325,6,3,325,15,250,182,250,473,325,6,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,GUIMBAL,putos,g,large,550,4,3,325,15,250,182,250,473,550,4,own cell x size,0
rice,ILOILO,GUIMBAL,salmon,g,conventional_nsu,377.5,4,1,377.5,4,410,21,410,21,377.5,4,own cell x size,0
beef,ILOILO,IGBARAS,intestine,g,medium,2060,1,2,2060,1,2060,1,2060,1,,,,1
cabbage,ILOILO,IGBARAS,pieces or units,g,small,572.5,2,3,595,3,660,543,655,1306,595,3,cell pooled across sizes,0
cabbage,ILOILO,IGBARAS,pieces or units,g,medium,815,1,3,595,3,660,543,655,1306,595,3,cell pooled across sizes,0
camote,ILOILO,IGBARAS,bilog,g,small,75,3,3,140,7,140,296,140,509,140,7,cell pooled across sizes,0
camote,ILOILO,IGBARAS,bilog,g,medium,147.5,2,3,140,7,140,296,140,509,140,7,cell pooled across sizes,0
camote,ILOILO,IGBARAS,bilog,g,large,362.5,2,3,140,7,140,296,140,509,140,7,cell pooled across sizes,0
camote tops,ILOILO,IGBARAS,bugkos,g,small,105,3,3,105,3,170,218,195,449,105,3,own cell x size,0
carrot,ILOILO,IGBARAS,pieces or units,g,small,95,3,3,150,9,135,538,140,1169,150,9,cell pooled across sizes,0
carrot,ILOILO,IGBARAS,pieces or units,g,medium,165,4,3,150,9,135,538,140,1169,150,9,cell pooled across sizes,0
carrot,ILOILO,IGBARAS,pieces or units,g,large,310,2,3,150,9,135,538,140,1169,150,9,cell pooled across sizes,0
carrot,ILOILO,IGBARAS,putos (mix vegetable),g,small,155,3,3,155,3,135,12,152.5,16,155,3,own cell x size,0
chicken,ILOILO,IGBARAS,bilog,g,small,870,3,3,935,5,1072.5,130,1095,230,935,5,cell pooled across sizes,0
chicken,ILOILO,IGBARAS,bilog,g,medium,1170,2,3,935,5,1072.5,130,1095,230,935,5,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,IGBARAS,pieces or units,g,small,32,7,3,32,7,32,227,32,505,32,7,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,IGBARAS,putos,g,small,35,4,3,55,7,100,230,210,482,35,4,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,IGBARAS,putos,g,medium,85,3,3,55,7,100,230,210,482,85,3,own cell x size,0
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,IGBARAS,pieces,mL,medium,355,3,3,355,3,355,65,355,164,355,3,own cell x size,0
fresh fish,ILOILO,IGBARAS,pieces or units,g,small,100,6,3,257.5,18,390,368,390,685,100,6,own cell x size,0
fresh fish,ILOILO,IGBARAS,pieces or units,g,medium,265,7,3,257.5,18,390,368,390,685,265,7,own cell x size,0
fresh fish,ILOILO,IGBARAS,pieces or units,g,large,680,5,3,257.5,18,390,368,390,685,680,5,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,IGBARAS,pieces or units,mL,small,110,5,3,110,5,100,60,100,166,110,5,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,IGBARAS,putos,mL,small,50,3,3,57.5,6,65,60,65,148,50,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,IGBARAS,putos,mL,medium,65,3,3,57.5,6,65,60,65,148,65,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,IGBARAS,small cup,mL,small,100,5,3,100,5,100,75,100,185,100,5,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ILOILO,IGBARAS,junior lapad,mL,small,250,6,3,250,6,250,9,250,9,250,6,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ILOILO,IGBARAS,lipid/lapad,mL,medium,375,7,3,375,7,375,267,375,618,375,7,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ILOILO,IGBARAS,long-neck,mL,large,750,7,3,750,7,750,185,750,478,750,7,own cell x size,0
loaf bread,ILOILO,IGBARAS,large packs,g,large,607.5,4,3,607.5,4,640,188,640,411,607.5,4,own cell x size,0
loaf bread,ILOILO,IGBARAS,medium packs,g,medium,450,5,3,450,5,450,160,450,352,450,5,own cell x size,0
loaf bread,ILOILO,IGBARAS,small packs,g,small,400,4,3,400,4,385,123,370,259,400,4,own cell x size,0
mango,ILOILO,IGBARAS,pieces or units,g,small,170,2,3,225,6,230,289,230,539,225,6,cell pooled across sizes,0
mango,ILOILO,IGBARAS,pieces or units,g,medium,240,3,3,225,6,230,289,230,539,225,6,cell pooled across sizes,0
mango,ILOILO,IGBARAS,pieces or units,g,large,265,1,3,225,6,230,289,230,539,225,6,cell pooled across sizes,0
"prawns, lobster, shrimp",ILOILO,IGBARAS,tumpok,g,small,135,1,3,135,1,250,55,260,147,250,55,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,IGBARAS,cans,g,small,150,5,3,175,8,200,14,155,95,150,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,IGBARAS,cans,g,medium,260,3,3,175,8,200,14,155,95,260,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,IGBARAS,putos,g,small,250,5,3,250,6,250,182,250,473,250,6,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,IGBARAS,putos,g,large,1200,1,3,250,6,250,182,250,473,250,6,cell pooled across sizes,0
cabbage,ILOILO,JANIUAY,pieces or units,g,small,500,8,3,650,21,660,543,655,1306,500,8,own cell x size,0
cabbage,ILOILO,JANIUAY,pieces or units,g,medium,705,7,3,650,21,660,543,655,1306,705,7,own cell x size,0
cabbage,ILOILO,JANIUAY,pieces or units,g,large,920,6,3,650,21,660,543,655,1306,920,6,own cell x size,0
camote,ILOILO,JANIUAY,bilog,g,small,95,6,3,140,18,140,296,140,509,95,6,own cell x size,0
camote,ILOILO,JANIUAY,bilog,g,medium,150,7,3,140,18,140,296,140,509,150,7,own cell x size,0
camote,ILOILO,JANIUAY,bilog,g,large,240,5,3,140,18,140,296,140,509,240,5,own cell x size,0
camote tops,ILOILO,JANIUAY,bugkos,g,small,120,7,3,120,7,170,218,195,449,120,7,own cell x size,0
carrot,ILOILO,JANIUAY,pieces or units,g,small,112.5,8,3,145,19,135,538,140,1169,112.5,8,own cell x size,0
carrot,ILOILO,JANIUAY,pieces or units,g,medium,155,5,3,145,19,135,538,140,1169,155,5,own cell x size,0
carrot,ILOILO,JANIUAY,pieces or units,g,large,185,6,3,145,19,135,538,140,1169,185,6,own cell x size,0
chicken,ILOILO,JANIUAY,patupa,g,medium,935,3,2,935,3,935,3,935,3,935,3,own cell x size,0
chicken,ILOILO,JANIUAY,whole (chicken),g,small,885,3,3,1090,9,1035,180,1120,468,1090,9,cell pooled across sizes,0
chicken,ILOILO,JANIUAY,whole (chicken),g,medium,1097.5,4,3,1090,9,1035,180,1120,468,1090,9,cell pooled across sizes,0
chicken,ILOILO,JANIUAY,whole (chicken),g,large,1407.5,2,3,1090,9,1035,180,1120,468,1090,9,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,JANIUAY,putos,g,small,35,7,3,60,21,100,230,210,482,35,7,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,JANIUAY,putos,g,medium,60,8,3,60,21,100,230,210,482,60,8,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,JANIUAY,putos,g,large,140,6,3,60,21,100,230,210,482,140,6,own cell x size,0
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,JANIUAY,pieces,mL,small,320,5,3,355,9,355,65,355,164,320,5,own cell x size,0
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,JANIUAY,pieces,mL,medium,500,4,3,355,9,355,65,355,164,500,4,own cell x size,0
fresh fish,ILOILO,JANIUAY,pieces or units,g,small,280,6,3,457.5,18,390,368,390,685,280,6,own cell x size,0
fresh fish,ILOILO,JANIUAY,pieces or units,g,medium,495,7,3,457.5,18,390,368,390,685,495,7,own cell x size,0
fresh fish,ILOILO,JANIUAY,pieces or units,g,large,625,5,3,457.5,18,390,368,390,685,625,5,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,JANIUAY,putos,mL,small,450,5,3,450,5,65,60,65,148,450,5,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,JANIUAY,small cup,mL,small,100,3,3,100,3,100,75,100,185,100,3,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ILOILO,JANIUAY,lipid/lapad,mL,medium,375,6,3,375,6,375,267,375,618,375,6,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ILOILO,JANIUAY,long-neck,mL,medium,750,8,3,750,8,750,185,750,478,750,8,own cell x size,0
loaf bread,ILOILO,JANIUAY,large packs,g,large,640,7,3,640,7,640,188,640,411,640,7,own cell x size,0
loaf bread,ILOILO,JANIUAY,medium packs,g,medium,450,5,3,450,5,450,160,450,352,450,5,own cell x size,0
loaf bread,ILOILO,JANIUAY,small packs,g,small,220,3,3,220,3,385,123,370,259,220,3,own cell x size,0
mango,ILOILO,JANIUAY,pieces or units,g,small,185,7,3,250,18,230,289,230,539,185,7,own cell x size,0
mango,ILOILO,JANIUAY,pieces or units,g,medium,250,6,3,250,18,230,289,230,539,250,6,own cell x size,0
mango,ILOILO,JANIUAY,pieces or units,g,large,290,5,3,250,18,230,289,230,539,290,5,own cell x size,0
"prawns, lobster, shrimp",ILOILO,JANIUAY,pack,g,small,30,3,3,30,3,30,3,30,3,30,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,JANIUAY,bilog,g,small,250,3,3,250,3,250,116,229,222,250,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,JANIUAY,putos,g,small,155,5,3,270,14,250,182,250,473,155,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,JANIUAY,putos,g,medium,270,5,3,270,14,250,182,250,473,270,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,JANIUAY,putos,g,large,607.5,4,3,270,14,250,182,250,473,607.5,4,own cell x size,0
cabbage,ILOILO,LAMBUNAO,pieces or units,g,small,267.5,6,3,560,17,660,543,655,1306,267.5,6,own cell x size,0
cabbage,ILOILO,LAMBUNAO,pieces or units,g,medium,617.5,6,3,560,17,660,543,655,1306,617.5,6,own cell x size,0
cabbage,ILOILO,LAMBUNAO,pieces or units,g,large,775,5,3,560,17,660,543,655,1306,775,5,own cell x size,0
camote,ILOILO,LAMBUNAO,bilog,g,small,82.5,6,3,170,17,140,296,140,509,82.5,6,own cell x size,0
camote,ILOILO,LAMBUNAO,bilog,g,medium,172.5,6,3,170,17,140,296,140,509,172.5,6,own cell x size,0
camote,ILOILO,LAMBUNAO,bilog,g,large,245,5,3,170,17,140,296,140,509,245,5,own cell x size,0
camote tops,ILOILO,LAMBUNAO,bugkos,g,small,195,7,3,195,7,170,218,195,449,195,7,own cell x size,0
