pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,weighing_approach,w_l1,n_l1,w_l2,n_l2,w_l3,n_l3,grams_used,n_g_used,fallback_level,unconvertible
carrot,AKLAN,BATAN,pieces or units,g,medium,180,6,3,175,15,145,195,140,1169,180,6,own cell x size,0
carrot,AKLAN,BATAN,pieces or units,g,large,240,4,3,175,15,145,195,140,1169,240,4,own cell x size,0
chicken,AKLAN,BATAN,pieces or units,g,small,275,3,3,330,7,385,45,380,108,330,7,cell pooled across sizes,0
chicken,AKLAN,BATAN,pieces or units,g,medium,430,2,3,330,7,385,45,380,108,330,7,cell pooled across sizes,0
chicken,AKLAN,BATAN,pieces or units,g,large,802.5,2,3,330,7,385,45,380,108,330,7,cell pooled across sizes,0
chicken,AKLAN,BATAN,whole (chicken),g,medium,1360,3,3,1607.5,6,1265,83,1120,468,1360,3,own cell x size,0
chicken,AKLAN,BATAN,whole (chicken),g,large,1970,3,3,1607.5,6,1265,83,1120,468,1970,3,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BATAN,pieces or units,g,small,36,2,3,48,5,30,96,32,505,48,5,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BATAN,pieces or units,g,medium,51.5,2,3,48,5,30,96,32,505,48,5,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BATAN,pieces or units,g,large,85,1,3,48,5,30,96,32,505,48,5,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BATAN,putos,g,small,270,3,3,290,6,280,93,210,482,270,3,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BATAN,putos,g,medium,300,3,3,290,6,280,93,210,482,300,3,own cell x size,0
fresh fish,AKLAN,BATAN,pieces or units,g,small,117.5,4,3,155,9,387.5,62,390,685,155,9,cell pooled across sizes,0
fresh fish,AKLAN,BATAN,pieces or units,g,medium,175,3,3,155,9,387.5,62,390,685,155,9,cell pooled across sizes,0
fresh fish,AKLAN,BATAN,pieces or units,g,large,410,2,3,155,9,387.5,62,390,685,155,9,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BATAN,pieces or units,mL,small,110,2,3,110,2,110,25,100,166,110,25,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BATAN,putos,mL,small,650,2,3,650,2,600,20,65,148,600,20,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BATAN,small cup,mL,small,110,2,3,110,2,100,12,100,185,100,12,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BATAN,lipid/lapad,mL,medium,375,3,3,375,3,375,76,375,618,375,3,own cell x size,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BATAN,long-neck,mL,small,425,2,3,750,5,750,104,750,478,750,5,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BATAN,long-neck,mL,medium,750,3,3,750,5,750,104,750,478,750,5,cell pooled across sizes,0
loaf bread,AKLAN,BATAN,large packs,g,large,620,5,3,620,5,640,43,640,411,620,5,own cell x size,0
loaf bread,AKLAN,BATAN,medium packs,g,medium,450,1,3,450,1,450,51,450,352,450,51,province x item x unit,0
loaf bread,AKLAN,BATAN,small packs,g,small,330,2,3,330,2,360,33,370,259,360,33,province x item x unit,0
mango,AKLAN,BATAN,pieces or units,g,small,230,5,3,245,15,230,77,230,539,230,5,own cell x size,0
mango,AKLAN,BATAN,pieces or units,g,medium,250,7,3,245,15,230,77,230,539,250,7,own cell x size,0
mango,AKLAN,BATAN,pieces or units,g,large,310,3,3,245,15,230,77,230,539,310,3,own cell x size,0
"prawns, lobster, shrimp",AKLAN,BATAN,tumpok,g,conventional_nsu,190,2,1,190,2,290,23,260,147,290,23,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,cans,g,small,108,9,3,152.5,18,152.5,18,155,95,108,9,own cell x size,0
