pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,LIBACAO,small cup,g,87.5,7,0,350,3,.25,-.6020599913279623
"liquor (e.g, whisky, coconut wine)",AKLAN,LIBACAO,lipid/lapad,mL,362.5,26,0,375,5,.9666666666666667,-.0147232568207063
"liquor (e.g, whisky, coconut wine)",AKLAN,LIBACAO,long-neck,mL,750,3,0,750,7,1,0
mango,AKLAN,LIBACAO,pieces or units,g,55.00000000000001,1,0,225,11,.2444444444444445,-.6118198286171186
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,pieces or units,g,106.2362030905077,6,0,125,2,.8498896247240619,-.0706374725043311
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,g,309.6109721413712,15,0,307.5,6,1.00686495005324,.0029712229072248
cabbage,AKLAN,MADALAG,pieces or units,g,547.9166666666666,4,0,700,18,.7827380952380952,-.1063835289000862
camote,AKLAN,MADALAG,binilog,g,160,1,0,160,3,1,0
camote tops,AKLAN,MADALAG,bugkos,g,150,6,0,150,4,1,0
carrot,AKLAN,MADALAG,pieces or units,g,113.75,5,0,180,12,.6319444444444444,-.199321099774156
chicken,AKLAN,MADALAG,pieces or units,g,500,4,0,590,2,.847457627118644,-.0718820073061254
chicken,AKLAN,MADALAG,whole (chicken),g,955.3522099447514,4,0,1250,4,.7642817679558012,-.1167465004446374
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,pieces or units,g,6.300000000000001,12,0,33,8,.1909090909090909,-.7191733904243056
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,putos,g,336.359986786939,23,0,315,6,1.067809481863298,.028493772958138
fresh fish,AKLAN,MADALAG,pieces or units,g,437.5,4,0,475,12,.9210526315789473,-.0357155522665345
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MADALAG,pieces or units,mL,33.33333333333334,26,0,100,2,.3333333333333334,-.4771212547196623
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MADALAG,putos,mL,99.13637564524346,2,0,54,4,1.835858808245249,.2638392775417687
"liquor (e.g, whisky, coconut wine)",AKLAN,MADALAG,lipid/lapad,mL,362.9032258064516,23,0,375,6,.9677419354838709,-.0142404391146103
"liquor (e.g, whisky, coconut wine)",AKLAN,MADALAG,long-neck,mL,781.7796610169491,4,0,750,5,1.042372881355932,.0180231041332725
loaf bread,AKLAN,MADALAG,large packs,g,609.5238095238095,6,0,640,1,.9523809523809523,-.0211892990699381
loaf bread,AKLAN,MADALAG,medium packs,g,525,13,0,610,4,.860655737704918,-.0651705316048102
loaf bread,AKLAN,MADALAG,small packs,g,44,19,0,220,1,.2,-.6989700043360187
mango,AKLAN,MADALAG,pieces or units,g,217.5,2,0,217.5,4,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,pieces or units,g,4,6,0,22.5,4,.1777777777777778,-.7501225267834001
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,putos,g,318.4210404543371,16,0,330,6,.9649122438010216,-.0155121827867883
