province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_raw_units,raw_units,points_pooled,points_naive
ANTIQUE,SIBALOM,chicken,pieces or units,1,binilog,2,3
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,2,3
ANTIQUE,TIBIAO,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
ANTIQUE,TIBIAO,rice,letse,1,letse,2,1
ANTIQUE,TOBIAS FORNIER,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,bilog,2,3
ANTIQUE,VALDERRAMA,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
ANTIQUE,VALDERRAMA,loaf bread,small packs,1,gagmay nga putos,2,1
CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
CAPIZ,DUMALAG,fresh fish,pack,1,pack,2,1
CAPIZ,DUMALAG,fresh fish,pieces or units,1,bilog,2,1
CAPIZ,DUMALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
CAPIZ,DUMARAO,rice,salmon,1,salmon,2,1
CAPIZ,IVISAN,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
CAPIZ,JAMINDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,bilog,2,1
CAPIZ,MA-AYON,"prawns, lobster, shrimp",tumpok,1,tumpok,2,3
CAPIZ,MAMBUSAO,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
CAPIZ,MAMBUSAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
CAPIZ,MAMBUSAO,mango,pieces or units,1,bilog,2,1
CAPIZ,MAMBUSAO,rice,letse,1,letse,2,1
CAPIZ,PANAY,mango,pieces or units,1,bilog,2,1
CAPIZ,PILAR,fresh fish,pieces or units,1,bilog,2,1
CAPIZ,PONTEVEDRA,chicken,bilog,1,bilog,2,1
CAPIZ,PRESIDENT ROXAS,chicken,whole (chicken),1,whole (chicken),2,3
