province,pull_municipal_city,cons_name,harmonized_nsu_unit,branch,unique_price,prov_median,abs_gap,ratio,n_weighings,holds
ILOILO,AJUY,fresh fish,tumpok,size-based,350.0,325.0,25.0,1.0769230769230769,6,prov_median + unique x1
CAPIZ,SAPI-AN,mango,pieces or units,size-based,50.0,75.0,25.0,0.6666666666666666,3,prov_median + unique x1
CAPIZ,DUMALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,price-quantity,85.0,60.0,25.0,1.4166666666666667,2,full_triple + prov_median + unique x1
ANTIQUE,VALDERRAMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,15.0,40.0,25.0,0.375,3,mun_median + prov_median + unique x2
ILOILO,CARLES,loaf bread,small packs,size-based,25.0,50.0,25.0,0.5,1,full_triple + mun_median + prov_median + unique x1
CAPIZ,PRESIDENT ROXAS,mango,pieces or units,size-based,100.0,75.0,25.0,1.3333333333333333,4,prov_median + unique x1
ANTIQUE,PATNONGON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,conventional,20.0,45.0,25.0,0.4444444444444444,5,prov_median + unique x2
ANTIQUE,CULASI,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,15.0,40.0,25.0,0.375,6,mun_median + prov_median + unique x1
ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,(no MS rows),15.0,40.0,25.0,0.375,0,mun_median + prov_median + unique x1
ANTIQUE,TIBIAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,10.0,35.0,25.0,0.2857142857142857,3,prov_median + unique x1
CAPIZ,SAPI-AN,fresh fish,pieces or units,size-based,85.0,110.0,25.0,0.7727272727272727,9,prov_median + unique x2
ILOILO,ALIMODIAN,camote,bilog,size-based,5.0,30.0,25.0,0.16666666666666666,11,prov_median + unique x2
ANTIQUE,BUGASONG,camote,bilog,size-based,50.0,25.0,25.0,2.0,9,prov_median + unique x1
ILOILO,SAN JOAQUIN,loaf bread,tama-tama nga putos,(no MS rows),54.0,77.5,23.5,0.6967741935483871,0,prov_median + unique x2
ILOILO,SAN JOAQUIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,25.0,48.0,23.0,0.5208333333333334,6,prov_median + unique x1
ILOILO,BATAD,loaf bread,medium packs,size-based,45.0,68.0,23.0,0.6617647058823529,5,prov_median + unique x1
ILOILO,SAN RAFAEL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone,size-based,10.0,32.5,22.5,0.3076923076923077,7,prov_median + unique x1
AKLAN,BATAN,rice,gantang,(no MS rows),375.0,397.5,22.5,0.9433962264150944,0,prov_median + unique x1
AKLAN,NEW WASHINGTON,cabbage,pieces or units,size-based,75.0,52.5,22.5,1.4285714285714286,26,prov_median + unique x1
AKLAN,MALINAO,rice,gantang,(no MS rows),420.0,397.5,22.5,1.0566037735849056,0,prov_median + unique x1
ILOILO,POTOTAN,pork,pieces or units,price-quantity,25.0,47.5,22.5,0.5263157894736842,7,prov_median + unique x1
AKLAN,MALAY,rice,gantang,(no MS rows),420.0,397.5,22.5,1.0566037735849056,0,prov_median + unique x1
ILOILO,MAASIN,pork,pieces or units,price-quantity,70.0,47.5,22.5,1.4736842105263157,4,prov_median + unique x1
