bucket,prov,mun,item,harm,n_psps_obs
convertible from its own cell,ILOILO,JANIUAY,loaf bread,small packs,19
convertible from its own cell,AKLAN,MALINAO,loaf bread,medium packs,19
any-province fallback only,ANTIQUE,PATNONGON,rice,letse,19
convertible from its own cell,NEGROS OCCIDENTAL,MANAPLA,camote tops,bugkos,19
convertible from its own cell,CAPIZ,DUMALAG,"crackers, cookies, buiscuits, chips/curls",putos,19
convertible from its own cell,AKLAN,MADALAG,loaf bread,small packs,19
convertible from its own cell,AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,19
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,chicken,whole (chicken),19
convertible from its own cell,ANTIQUE,HAMTIC,carrot,pieces or units,19
convertible from its own cell,CAPIZ,DUMARAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,19
convertible from its own cell,CAPIZ,PANITAN,cabbage,pieces or units,19
convertible from its own cell,CAPIZ,SIGMA,"prawns, lobster, shrimp",tumpok,19
convertible from its own cell,ILOILO,LEGANES,camote tops,bugkos,19
convertible from its own cell,ILOILO,POTOTAN,cabbage,pieces or units,19
convertible from its own cell,AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,19
convertible from its own cell,ANTIQUE,SEBASTE,"liquor (e.g, whisky, coconut wine)",lipid/lapad,19
province fallback available,CAPIZ,PILAR,loaf bread,small packs,19
province fallback available,CAPIZ,TAPAZ,chicken,bilog,18
convertible from its own cell,CAPIZ,PONTEVEDRA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,18
convertible from its own cell,NEGROS OCCIDENTAL,CANDONI,chicken,whole (chicken),18
any-province fallback only,CAPIZ,IVISAN,loaf bread,tama-tama nga putos,18
convertible from its own cell,CAPIZ,MA-AYON,carrot,pieces or units,18
convertible from its own cell,ILOILO,DUEAS,loaf bread,large packs,18
province fallback available,ILOILO,JANIUAY,chicken,bilog,18
convertible from its own cell,AKLAN,BANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,18
convertible from its own cell,ANTIQUE,HAMTIC,loaf bread,large packs,18
convertible from its own cell,AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,18
province fallback available,ILOILO,BAROTAC VIEJO,"crackers, cookies, buiscuits, chips/curls",putos,18
convertible from its own cell,ILOILO,DUMANGAS,carrot,pieces or units,18
convertible from its own cell,ANTIQUE,PANDAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,18
convertible from its own cell,CAPIZ,MA-AYON,"prawns, lobster, shrimp",tumpok,18
convertible from its own cell,CAPIZ,PANAY,"prawns, lobster, shrimp",tumpok,18
convertible from its own cell,ANTIQUE,LAUA-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,18
convertible from its own cell,CAPIZ,DUMARAO,loaf bread,medium packs,18
convertible from its own cell,ILOILO,OTON,rice,salmon,18
convertible from its own cell,ANTIQUE,HAMTIC,loaf bread,small packs,18
convertible from its own cell,NEGROS OCCIDENTAL,VALLADOLID,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,18
convertible from its own cell,ANTIQUE,BUGASONG,"crackers, cookies, buiscuits, chips/curls",putos,18
convertible from its own cell,ANTIQUE,CULASI,"liquor (e.g, whisky, coconut wine)",lipid/lapad,18
convertible from its own cell,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",pieces or units,18
convertible from its own cell,NEGROS OCCIDENTAL,VALLADOLID,"liquor (e.g, whisky, coconut wine)",lipid/lapad,18
convertible from its own cell,AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",long-neck,18
convertible from its own cell,CAPIZ,MAMBUSAO,cabbage,pieces or units,18
convertible from its own cell,CAPIZ,SIGMA,cabbage,pieces or units,18
convertible from its own cell,AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,18
convertible from its own cell,ILOILO,OTON,chicken,bilog,18
convertible from its own cell,ANTIQUE,PATNONGON,"crackers, cookies, buiscuits, chips/curls",putos,17
convertible from its own cell,ANTIQUE,LAUA-AN,carrot,pieces or units,17
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,cabbage,pieces or units,17
convertible from its own cell,ANTIQUE,SAN REMIGIO,cabbage,pieces or units,17
convertible from its own cell,CAPIZ,MA-AYON,loaf bread,small packs,17
province fallback available,CAPIZ,SIGMA,loaf bread,medium packs,17
convertible from its own cell,ILOILO,SARA,loaf bread,small packs,17
province fallback available,CAPIZ,MAMBUSAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,17
province fallback available,ILOILO,BATAD,"crackers, cookies, buiscuits, chips/curls",putos,17
convertible from its own cell,AKLAN,BANGA,loaf bread,small packs,17
province fallback available,ILOILO,BATAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,17
province fallback available,ILOILO,SAN DIONISIO,loaf bread,large packs,17
convertible from its own cell,CAPIZ,JAMINDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,17
convertible from its own cell,ANTIQUE,CULASI,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,17
convertible from its own cell,NEGROS OCCIDENTAL,TOBOSO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,17
province fallback available,ILOILO,DUEAS,rice,salmon,17
province fallback available,ILOILO,NEW LUCENA,rice,salmon,17
convertible from its own cell,AKLAN,BATAN,carrot,pieces or units,17
convertible from its own cell,AKLAN,BATAN,loaf bread,medium packs,17
convertible from its own cell,ILOILO,SAN MIGUEL,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,17
province fallback available,CAPIZ,SAPI-AN,"crackers, cookies, buiscuits, chips/curls",putos,17
convertible from its own cell,ILOILO,SAN ENRIQUE,chicken,whole (chicken),17
convertible from its own cell,CAPIZ,PILAR,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,17
convertible from its own cell,ILOILO,POTOTAN,loaf bread,large packs,17
convertible from its own cell,CAPIZ,PILAR,carrot,pieces or units,17
province fallback available,ILOILO,CABATUAN,rice,salmon,17
convertible from its own cell,ILOILO,SAN ENRIQUE,loaf bread,large packs,17
province fallback available,CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,17
convertible from its own cell,ILOILO,CALINOG,cabbage,pieces or units,17
convertible from its own cell,AKLAN,LIBACAO,"crackers, cookies, buiscuits, chips/curls",putos,16
province fallback available,ILOILO,CABATUAN,loaf bread,tama-tama nga putos,16
convertible from its own cell,NEGROS OCCIDENTAL,CANDONI,loaf bread,large packs,16
convertible from its own cell,ILOILO,SAN JOAQUIN,cabbage,pieces or units,16
convertible from its own cell,AKLAN,ALTAVAS,chicken,whole (chicken),16
convertible from its own cell,ILOILO,BAROTAC NUEVO,chicken,bilog,16
convertible from its own cell,AKLAN,MALINAO,chicken,whole (chicken),16
convertible from its own cell,ILOILO,SAN RAFAEL,chicken,whole (chicken),16
convertible from its own cell,ILOILO,LEGANES,loaf bread,large packs,16
convertible from its own cell,ILOILO,LEGANES,"liquor (e.g, whisky, coconut wine)",lipid/lapad,16
province fallback available,ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,16
convertible from its own cell,ILOILO,ALIMODIAN,rice,salmon,16
convertible from its own cell,ILOILO,NEW LUCENA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,16
convertible from its own cell,ILOILO,MIAGAO,loaf bread,medium packs,16
province fallback available,ILOILO,DINGLE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,16
convertible from its own cell,CAPIZ,PANITAN,"prawns, lobster, shrimp",tumpok,16
convertible from its own cell,ILOILO,IGBARAS,"crackers, cookies, buiscuits, chips/curls",putos,16
convertible from its own cell,ILOILO,BINGAWAN,loaf bread,small packs,16
convertible from its own cell,ANTIQUE,BUGASONG,chicken,whole (chicken),16
province fallback available,AKLAN,LIBACAO,loaf bread,small packs,16
province fallback available,NEGROS OCCIDENTAL,CAUAYAN,chicken,bilog,16
convertible from its own cell,ILOILO,DINGLE,fresh fish,pieces or units,16
convertible from its own cell,ILOILO,CARLES,loaf bread,small packs,16
convertible from its own cell,ILOILO,CONCEPCION,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,16
convertible from its own cell,NEGROS OCCIDENTAL,VALLADOLID,cabbage,pieces or units,16
convertible from its own cell,ILOILO,LAMBUNAO,cabbage,pieces or units,16
convertible from its own cell,ILOILO,LAMBUNAO,carrot,pieces or units,16
province fallback available,CAPIZ,PANITAN,loaf bread,medium packs,16
convertible from its own cell,AKLAN,MADALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,16
convertible from its own cell,ANTIQUE,SAN REMIGIO,chicken,pieces or units,16
convertible from its own cell,AKLAN,BANGA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,16
convertible from its own cell,ILOILO,BAROTAC VIEJO,loaf bread,medium packs,16
convertible from its own cell,ILOILO,LAMBUNAO,"crackers, cookies, buiscuits, chips/curls",pieces or units,16
convertible from its own cell,CAPIZ,DUMALAG,carrot,pieces or units,16
convertible from its own cell,ILOILO,SAN MIGUEL,camote tops,bugkos,15
province fallback available,ILOILO,CARLES,loaf bread,tama-tama nga putos,15
convertible from its own cell,CAPIZ,PILAR,cabbage,pieces or units,15
convertible from its own cell,AKLAN,IBAJAY,camote tops,bugkos,15
province fallback available,NEGROS OCCIDENTAL,SALVADOR BENEDICTO,chicken,whole (chicken),15
convertible from its own cell,ILOILO,DUMANGAS,cabbage,pieces or units,15
any-province fallback only,ANTIQUE,TOBIAS FORNIER,rice,letse,15
convertible from its own cell,ILOILO,DUEAS,fresh fish,pieces or units,15
province fallback available,NEGROS OCCIDENTAL,ISABELA,chicken,bilog,15
convertible from its own cell,AKLAN,LIBACAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,15
convertible from its own cell,ILOILO,SAN JOAQUIN,chicken,bilog,15
convertible from its own cell,CAPIZ,PANAY,loaf bread,small packs,15
convertible from its own cell,ANTIQUE,SAN REMIGIO,carrot,pieces or units,15
convertible from its own cell,ILOILO,NEW LUCENA,loaf bread,large packs,15
convertible from its own cell,NEGROS OCCIDENTAL,PULUPANDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,15
province fallback available,CAPIZ,SIGMA,"liquor (e.g, whisky, coconut wine)",long-neck,15
convertible from its own cell,ILOILO,MAASIN,camote tops,bundle,15
convertible from its own cell,CAPIZ,MA-AYON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,15
convertible from its own cell,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,15
convertible from its own cell,ANTIQUE,LIBERTAD,loaf bread,small packs,15
convertible from its own cell,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),cabbage,pieces or units,15
convertible from its own cell,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),chicken,whole (chicken),15
convertible from its own cell,CAPIZ,MAMBUSAO,"crackers, cookies, buiscuits, chips/curls",putos,15
convertible from its own cell,AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",long-neck,15
convertible from its own cell,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,15
convertible from its own cell,ANTIQUE,SAN REMIGIO,"crackers, cookies, buiscuits, chips/curls",putos,15
convertible from its own cell,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,15
convertible from its own cell,ANTIQUE,SAN REMIGIO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,15
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,carrot,pieces or units,15
convertible from its own cell,ILOILO,LAMBUNAO,"crackers, cookies, buiscuits, chips/curls",putos,15
province fallback available,ILOILO,NEW LUCENA,chicken,bilog,15
province fallback available,CAPIZ,PANAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,15
convertible from its own cell,ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,15
convertible from its own cell,ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,15
convertible from its own cell,ILOILO,LEGANES,cabbage,pieces or units,15
convertible from its own cell,NEGROS OCCIDENTAL,SALVADOR BENEDICTO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,15
convertible from its own cell,ILOILO,TUBUNGAN,carrot,pieces or units,15
convertible from its own cell,ILOILO,TUBUNGAN,chicken,bilog,15
convertible from its own cell,ILOILO,CALINOG,loaf bread,large packs,15
province fallback available,ANTIQUE,PATNONGON,chicken,bilog,15
convertible from its own cell,ILOILO,BINGAWAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,15
province fallback available,CAPIZ,SAPI-AN,loaf bread,small packs,15
province fallback available,ILOILO,SAN RAFAEL,camote tops,bundle,15
any-province fallback only,ANTIQUE,LAUA-AN,rice,salmon,15
any-province fallback only,ANTIQUE,SIBALOM,rice,letse,15
province fallback available,ILOILO,SARA,loaf bread,tama-tama nga putos,15
province fallback available,NEGROS OCCIDENTAL,CANDONI,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,14
convertible from its own cell,ILOILO,SARA,"crackers, cookies, buiscuits, chips/curls",putos,14
convertible from its own cell,ILOILO,TIGBAUAN,cabbage,pieces or units,14
convertible from its own cell,CAPIZ,IVISAN,carrot,pieces or units,14
convertible from its own cell,AKLAN,ALTAVAS,loaf bread,small packs,14
convertible from its own cell,ILOILO,BADIANGAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,14
province fallback available,ANTIQUE,PANDAN,camote tops,bundle,14
province fallback available,ANTIQUE,HAMTIC,"crackers, cookies, buiscuits, chips/curls",putos,14
convertible from its own cell,ILOILO,SANTA BARBARA,chicken,whole (chicken),14
convertible from its own cell,NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),"liquor (e.g, whisky, coconut wine)",lipid/lapad,14
convertible from its own cell,ILOILO,BAROTAC NUEVO,"crackers, cookies, buiscuits, chips/curls",putos,14
province fallback available,CAPIZ,SIGMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,14
convertible from its own cell,ILOILO,BAROTAC NUEVO,carrot,pieces or units,14
convertible from its own cell,NEGROS OCCIDENTAL,PONTEVEDRA,carrot,pieces or units,14
convertible from its own cell,ANTIQUE,LIBERTAD,"liquor (e.g, whisky, coconut wine)",lipid/lapad,14
convertible from its own cell,ILOILO,BAROTAC NUEVO,loaf bread,small packs,14
convertible from its own cell,ILOILO,BAROTAC NUEVO,loaf bread,large packs,14
convertible from its own cell,NEGROS OCCIDENTAL,PULUPANDAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,14
convertible from its own cell,ILOILO,MINA,loaf bread,medium packs,14
convertible from its own cell,ILOILO,ALIMODIAN,cabbage,pieces or units,14
convertible from its own cell,ILOILO,SAN MIGUEL,"liquor (e.g, whisky, coconut wine)",lipid/lapad,14
convertible from its own cell,ANTIQUE,PATNONGON,loaf bread,medium packs,14
convertible from its own cell,ILOILO,DINGLE,loaf bread,large packs,14
any-province fallback only,ANTIQUE,TOBIAS FORNIER,rice,salmon,14
convertible from its own cell,ILOILO,DUMANGAS,loaf bread,medium packs,14
convertible from its own cell,CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,14
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,loaf bread,medium packs,14
convertible from its own cell,ILOILO,SAN JOAQUIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,14
convertible from its own cell,ILOILO,SAN JOAQUIN,loaf bread,large packs,14
convertible from its own cell,ILOILO,POTOTAN,carrot,pieces or units,14
convertible from its own cell,ILOILO,POTOTAN,rice,salmon,14
convertible from its own cell,CAPIZ,CUARTERO,loaf bread,large packs,14
convertible from its own cell,AKLAN,MALINAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,14
convertible from its own cell,ILOILO,BATAD,fresh fish,pieces or units,14
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,14
convertible from its own cell,ANTIQUE,HAMTIC,cabbage,pieces or units,14
convertible from its own cell,ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,14
convertible from its own cell,CAPIZ,TAPAZ,loaf bread,large packs,14
convertible from its own cell,CAPIZ,DAO,carrot,pieces or units,14
convertible from its own cell,ILOILO,CALINOG,carrot,pieces or units,14
province fallback available,ILOILO,CALINOG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,14
convertible from its own cell,ANTIQUE,HAMTIC,loaf bread,medium packs,14
convertible from its own cell,ANTIQUE,SIBALOM,loaf bread,medium packs,14
convertible from its own cell,AKLAN,MALAY,"crackers, cookies, buiscuits, chips/curls",putos,14
province fallback available,ILOILO,LEMERY,loaf bread,tama-tama nga putos,14
province fallback available,NEGROS OCCIDENTAL,CALATRAVA,chicken,bilog,14
convertible from its own cell,AKLAN,MADALAG,loaf bread,medium packs,13
convertible from its own cell,ILOILO,MINA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,13
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,loaf bread,large packs,13
convertible from its own cell,AKLAN,MALAY,loaf bread,large packs,13
province fallback available,CAPIZ,SIGMA,chicken,bilog,13
convertible from its own cell,ILOILO,LEON,cabbage,pieces or units,13
convertible from its own cell,NEGROS OCCIDENTAL,LA CASTELLANA,chicken,bilog,13
convertible from its own cell,AKLAN,MALINAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,13
province fallback available,ILOILO,LEMERY,chicken,bilog,13
convertible from its own cell,ILOILO,LEON,chicken,whole (chicken),13
convertible from its own cell,AKLAN,MALINAO,cabbage,pieces or units,13
convertible from its own cell,NEGROS OCCIDENTAL,MANAPLA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,13
convertible from its own cell,ILOILO,MIAGAO,chicken,whole (chicken),13
convertible from its own cell,ILOILO,SAN RAFAEL,carrot,pieces or units,13
convertible from its own cell,ILOILO,SAN RAFAEL,cabbage,pieces or units,13
convertible from its own cell,ANTIQUE,PANDAN,"crackers, cookies, buiscuits, chips/curls",putos,13
province fallback available,ILOILO,SARA,chicken,bilog,13
province fallback available,ILOILO,SAN JOAQUIN,chicken,whole (chicken),13
province fallback available,ILOILO,SAN RAFAEL,fresh fish,pack,13
convertible from its own cell,ILOILO,MAASIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,13
convertible from its own cell,ILOILO,SARA,chicken,whole (chicken),13
convertible from its own cell,ILOILO,BALASAN,carrot,pieces or units,13
convertible from its own cell,ILOILO,BALASAN,cabbage,pieces or units,13
convertible from its own cell,ILOILO,CALINOG,loaf bread,medium packs,13
convertible from its own cell,CAPIZ,DAO,cabbage,pieces or units,13
convertible from its own cell,ILOILO,OTON,"crackers, cookies, buiscuits, chips/curls",pieces or units,13
convertible from its own cell,CAPIZ,TAPAZ,"crackers, cookies, buiscuits, chips/curls",pieces or units,13
convertible from its own cell,ANTIQUE,SIBALOM,loaf bread,large packs,13
convertible from its own cell,ILOILO,TIGBAUAN,loaf bread,medium packs,13
convertible from its own cell,ANTIQUE,LAUA-AN,chicken,whole (chicken),13
convertible from its own cell,AKLAN,ALTAVAS,cabbage,pieces or units,13
convertible from its own cell,ILOILO,JANIUAY,loaf bread,medium packs,13
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,cabbage,pieces or units,13
convertible from its own cell,ANTIQUE,VALDERRAMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,13
province fallback available,CAPIZ,PANITAN,loaf bread,large packs,13
convertible from its own cell,CAPIZ,PANITAN,chicken,whole (chicken),13
convertible from its own cell,ANTIQUE,SEBASTE,carrot,pieces or units,13
convertible from its own cell,ILOILO,LEGANES,carrot,pieces or units,13
convertible from its own cell,ILOILO,BATAD,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,13
convertible from its own cell,CAPIZ,TAPAZ,carrot,pieces or units,13
convertible from its own cell,ANTIQUE,SEBASTE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,13
convertible from its own cell,ILOILO,ESTANCIA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,13
convertible from its own cell,ANTIQUE,SEBASTE,"crackers, cookies, buiscuits, chips/curls",pieces or units,13
convertible from its own cell,ANTIQUE,CULASI,"crackers, cookies, buiscuits, chips/curls",pieces or units,13
convertible from its own cell,CAPIZ,SAPI-AN,carrot,pieces or units,13
province fallback available,ILOILO,BALASAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,13
convertible from its own cell,ILOILO,SAN DIONISIO,cabbage,pieces or units,13
convertible from its own cell,CAPIZ,PILAR,"crackers, cookies, buiscuits, chips/curls",pieces or units,13
convertible from its own cell,CAPIZ,CUARTERO,loaf bread,medium packs,13
province fallback available,ILOILO,OTON,camote tops,bundle,13
province fallback available,ILOILO,MIAGAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,13
convertible from its own cell,NEGROS OCCIDENTAL,VALLADOLID,carrot,pieces or units,13
convertible from its own cell,ILOILO,SAN ENRIQUE,carrot,pieces or units,13
convertible from its own cell,ILOILO,SAN DIONISIO,loaf bread,medium packs,13
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,"liquor (e.g, whisky, coconut wine)",long-neck,13
province fallback available,NEGROS OCCIDENTAL,ISABELA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,13
convertible from its own cell,CAPIZ,PANITAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,13
convertible from its own cell,CAPIZ,PANITAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,13
province fallback available,ILOILO,TUBUNGAN,chicken,whole (chicken),13
convertible from its own cell,ILOILO,DUMANGAS,mango,pieces or units,13
province fallback available,ANTIQUE,TIBIAO,camote tops,bundle,13
convertible from its own cell,ILOILO,DUMANGAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,13
any-province fallback only,CAPIZ,MA-AYON,loaf bread,tama-tama nga putos,13
convertible from its own cell,ILOILO,CONCEPCION,"crackers, cookies, buiscuits, chips/curls",putos,12
province fallback available,CAPIZ,IVISAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,12
convertible from its own cell,ILOILO,CONCEPCION,"crackers, cookies, buiscuits, chips/curls",pieces or units,12
convertible from its own cell,NEGROS OCCIDENTAL,CANDONI,loaf bread,medium packs,12
convertible from its own cell,ILOILO,SAN ENRIQUE,fresh fish,pieces or units,12
convertible from its own cell,ILOILO,SAN JOAQUIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,12
convertible from its own cell,CAPIZ,CUARTERO,cabbage,pieces or units,12
convertible from its own cell,ILOILO,DINGLE,"crackers, cookies, buiscuits, chips/curls",pieces or units,12
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,loaf bread,small packs,12
convertible from its own cell,CAPIZ,PANAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,12
convertible from its own cell,ILOILO,SAN DIONISIO,fresh fish,pieces or units,12
any-province fallback only,CAPIZ,PILAR,loaf bread,tama-tama nga putos,12
convertible from its own cell,ANTIQUE,TIBIAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,12
convertible from its own cell,ILOILO,IGBARAS,mango,pieces or units,12
convertible from its own cell,NEGROS OCCIDENTAL,CANDONI,cabbage,pieces or units,12
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,carrot,pieces or units,12
convertible from its own cell,NEGROS OCCIDENTAL,CAUAYAN,loaf bread,small packs,12
convertible from its own cell,AKLAN,MAKATO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,12
convertible from its own cell,AKLAN,MALINAO,"liquor (e.g, whisky, coconut wine)",long-neck,12
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,chicken,pieces or units,12
convertible from its own cell,AKLAN,MAKATO,loaf bread,medium packs,12
convertible from its own cell,AKLAN,MALAY,cabbage,pieces or units,12
province fallback available,CAPIZ,PILAR,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,12
province fallback available,ILOILO,SAN ENRIQUE,rice,salmon,12
convertible from its own cell,NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,12
convertible from its own cell,ANTIQUE,PATNONGON,carrot,pieces or units,12
convertible from its own cell,ILOILO,ALIMODIAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,12
convertible from its own cell,NEGROS OCCIDENTAL,LA CASTELLANA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,12
convertible from its own cell,AKLAN,BANGA,loaf bread,large packs,12
convertible from its own cell,ILOILO,SAN RAFAEL,loaf bread,medium packs,12
convertible from its own cell,ILOILO,LEMERY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,12
convertible from its own cell,ANTIQUE,LAUA-AN,loaf bread,large packs,12
convertible from its own cell,ANTIQUE,BARBAZA,"crackers, cookies, buiscuits, chips/curls",pieces or units,12
convertible from its own cell,AKLAN,MADALAG,"crackers, cookies, buiscuits, chips/curls",pieces or units,12
convertible from its own cell,AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,12
province fallback available,ILOILO,BANATE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,12
province fallback available,ILOILO,LEON,rice,salmon,12
any-province fallback only,CAPIZ,TAPAZ,loaf bread,tama-tama nga putos,12
convertible from its own cell,ILOILO,OTON,cabbage,pieces or units,12
convertible from its own cell,CAPIZ,DAO,loaf bread,large packs,12
convertible from its own cell,ANTIQUE,SEBASTE,chicken,whole (chicken),12
convertible from its own cell,CAPIZ,TAPAZ,cabbage,pieces or units,12
convertible from its own cell,NEGROS OCCIDENTAL,MURCIA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,12
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,11
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,loaf bread,medium packs,11
convertible from its own cell,ILOILO,CABATUAN,fresh fish,pieces or units,11
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,11
province fallback available,AKLAN,MALINAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,11
convertible from its own cell,ANTIQUE,BARBAZA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,11
convertible from its own cell,ILOILO,ZARRAGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,11
convertible from its own cell,CAPIZ,PILAR,"prawns, lobster, shrimp",tumpok,11
convertible from its own cell,ILOILO,MINA,"crackers, cookies, buiscuits, chips/curls",pieces or units,11
convertible from its own cell,AKLAN,MALAY,loaf bread,medium packs,11
convertible from its own cell,ILOILO,ALIMODIAN,carrot,pieces or units,11
convertible from its own cell,ILOILO,SAN ENRIQUE,camote tops,bundle,11
