province,pull_municipal_city,cons_name,harmonized_nsu_unit,corrected_unit,n_units_in_MS,n_weighings,n_min,med_lo,med_hi,med_ratio,branches,detail
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,2,2,1,85.0,110.0,1.2941176470588236,size-based,bilog: 110 (n=1); pieces or units: 85 (n=1)
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,g,2,9,2,50.0,62.0,1.24,size-based,bilog: 50 (n=7); pieces or units: 62 (n=2)
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,2,3,1,49.0,59.5,1.2142857142857142,size-based,gamay nga cup: 60 (n=2); small cup: 49 (n=1)
ILOILO,CARLES,loaf bread,large packs,g,2,5,1,525.0,630.0,1.2,size-based,dalagku nga putos: 630 (n=1); large: 525 (n=4)
ILOILO,MAASIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,2,4,2,202.5,235.0,1.1604938271604939,size-based,gamay nga cup: 202 (n=2); gmay nga cup: 235 (n=2)
CAPIZ,JAMINDAN,cabbage,pieces or units,g,2,10,3,730.0,840.0,1.1506849315068493,size-based,bilog: 840 (n=7); binilog: 730 (n=3)
CAPIZ,DUMARAO,cabbage,pack,g,2,5,2,77.0,87.5,1.1363636363636365,size-based,pack: 88 (n=2); packs: 77 (n=3)
ILOILO,CABATUAN,loaf bread,medium packs,g,2,4,2,477.5,537.5,1.12565445026178,size-based,medium: 478 (n=2); medium packs: 538 (n=2)
CAPIZ,MAMBUSAO,loaf bread,large packs,g,2,9,1,500.0,560.0,1.12,size-based,dalagku nga putos: 500 (n=8); large: 560 (n=1)
ILOILO,TIGBAUAN,carrot,pieces or units,g,2,13,4,110.0,122.5,1.1136363636363635,price-quantity/size-based,bilog: 110 (n=9); pieces or units: 122 (n=4)
ILOILO,GUIMBAL,loaf bread,medium packs,g,2,5,2,427.5,475.0,1.1111111111111112,size-based,medium: 475 (n=3); medium nga putos: 428 (n=2)
ILOILO,TUBUNGAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,2,9,1,100.0,110.0,1.1,size-based,bilog: 110 (n=8); binilog: 100 (n=1)
ILOILO,BAROTAC VIEJO,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,2,5,2,25.5,28.0,1.0980392156862746,size-based,bilog: 26 (n=2); pieces or units: 28 (n=3)
ANTIQUE,HAMTIC,loaf bread,large packs,g,2,6,2,640.0,680.0,1.0625,size-based,large: 680 (n=2); large packs: 640 (n=4)
ILOILO,SAN RAFAEL,loaf bread,large packs,g,2,3,1,637.5,675.0,1.0588235294117647,size-based,dalagku nga putos: 675 (n=1); large: 638 (n=2)
ILOILO,JANIUAY,chicken,whole (chicken),g,2,9,4,1047.5,1105.0,1.0548926014319808,size-based,whole: 1048 (n=4); whole (chicken): 1105 (n=5)
ILOILO,GUIMBAL,loaf bread,large packs,g,2,7,3,640.0,665.0,1.0390625,size-based,daragkul nga putos: 640 (n=4); large: 665 (n=3)
