province,item_group,mdate,year_month,cpi,cpi_ma3,cpi_source
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),778,2024-11,155.3,155.83333333333334,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),779,2024-12,155.2,157.96666666666667,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),780,2025-01,163.4,160.53333333333333,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),781,2025-02,163.0,163.03333333333333,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),782,2025-03,162.7,163.33333333333334,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),783,2025-04,164.3,163.76666666666668,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),784,2025-05,164.3,164.4,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),785,2025-06,164.6,163.7,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),786,2025-07,162.2,161.2,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),787,2025-08,156.8,157.9,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),788,2025-09,154.7,154.93333333333334,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),789,2025-10,153.3,154.1,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),790,2025-11,154.3,153.96666666666667,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),791,2025-12,154.3,154.83333333333334,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),792,2026-01,155.9,155.0666666666667,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),793,2026-02,155.0,155.06666666666666,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),794,2026-03,154.3,154.86666666666667,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),795,2026-04,155.3,154.53333333333333,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),796,2026-05,154.0,,tier1_province_exact_group
