hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H006024,"liquor (e.g, whisky, coconut wine)",4,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H006043,chicken,1,1order,CAPIZ,MA-AYON,gift,70,1 order,,refused: nothing anywhere
H006067,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,10,small cup,3.142857142857143,refused: A11 spelling gap
H006082,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,BAROTAC NUEVO,purchased,140,long-neck,,refused: unique price
H006090,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,LEMERY,purchased,150,long-neck,,refused: unique price
H006094,fresh fish,1,puts or plastic,CAPIZ,PILAR,purchased,50,puts or plastic,,refused: nothing anywhere
H006120,"liquor (e.g, whisky, coconut wine)",3,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H006148,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,BINGAWAN,purchased,150,long-neck,,refused: unique price
H006174,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,MINA,purchased,150,long-neck,,refused: unique price
H006200,fresh fish,1,bilog,ILOILO,GUIMBAL,purchased,170,pieces or units,,refused: unique price
H006296,carrot,5,binilog,ILOILO,GUIMBAL,purchased,16,pieces or units,2.285714285714286,refused: A11 spelling gap
H006304,fresh fish,1,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H006328,loaf bread,5,pieces,CAPIZ,JAMINDAN,purchased,4,pieces or units,,refused: nothing anywhere
H006328,camote tops,7,cassava leaves,CAPIZ,JAMINDAN,own_production,2.857142857142857,cassava leaves,,refused: nothing anywhere
H006367,beef,1,patupa,ANTIQUE,PANDAN,purchased,100,patupa,,refused: nothing anywhere
H006429,"liquor (e.g, whisky, coconut wine)",3,lapad,AKLAN,IBAJAY,purchased,60,lipid/lapad,2,refused: A11 spelling gap
H006429,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H006492,"liquor (e.g, whisky, coconut wine)",3,cup,NEGROS OCCIDENTAL,CALATRAVA,purchased,5,cup,,refused: nothing anywhere
H006511,cabbage,1,1 chop,ILOILO,BAROTAC VIEJO,purchased,30,1 chop,,refused: nothing anywhere
H006588,loaf bread,2,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H006591,chicken,1,binilog,AKLAN,BATAN,own_production,180,pieces or units,,refused: unique price
H006598,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,gamay nga tasa,ANTIQUE,VALDERRAMA,purchased,15,small cup,2.4,refused: A11 spelling gap
H006605,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,cone,ILOILO,SAN RAFAEL,purchased,5,cone,,refused: unique price
H006662,loaf bread,1,large,CAPIZ,TAPAZ,purchased,70,large packs,2.125,refused: A11 spelling gap
H006713,"liquor (e.g, whisky, coconut wine)",1,lapad,AKLAN,IBAJAY,purchased,65,lipid/lapad,2,refused: A11 spelling gap
