hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H000039,"crackers, cookies, buiscuits, chips/curls",1,can o lata,ILOILO,CABATUAN,purchased,243,cans,,refused: nothing anywhere
H000058,loaf bread,3,dalagku nga putos,CAPIZ,DUMALAG,purchased,75,large packs,2.352941176470588,refused: A11 spelling gap
H000060,loaf bread,1,large,CAPIZ,TAPAZ,purchased,65,large packs,2.125,refused: A11 spelling gap
H000083,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H000165,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,binilog,AKLAN,IBAJAY,purchased,15,pieces or units,3.5,refused: A11 spelling gap
H000180,rice,42,"rice cooker cup, small",ILOILO,OTON,purchased,4.761904761904762,small rice cooker cup,,refused: nothing anywhere
H000198,fresh fish,1,putos,ILOILO,LEMERY,purchased,45,pack,1.305555555555556,refused: unique price
H000241,loaf bread,2,dalagku nga putos,CAPIZ,IVISAN,purchased,45,large packs,2.047058823529412,refused: A11 spelling gap
H000243,loaf bread,2,dalagku nga putos,ILOILO,MAASIN,purchased,80,large packs,2,refused: A11 spelling gap
H000282,loaf bread,7,gagmay nga putos,ILOILO,SARA,purchased,5,small packs,3.136363636363637,refused: A11 spelling gap
H000314,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H000355,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H000364,fresh fish,10,bilog,ILOILO,BAROTAC VIEJO,gift,2,pieces or units,,refused: unique price
H000396,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H000451,cabbage,3,binilog,AKLAN,MALAY,purchased,60,pieces or units,2.4,refused: A11 spelling gap
H000462,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,30,small cup,3.142857142857143,refused: A11 spelling gap
H000468,"liquor (e.g, whisky, coconut wine)",1,baso,ILOILO,LAMBUNAO,own_production,5,glass,,refused: nothing anywhere
H000470,"liquor (e.g, whisky, coconut wine)",2,takal ng tuba,ANTIQUE,SIBALOM,own_production,20,takal ng tuba,,refused: nothing anywhere
H000474,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",63,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,10,small cup,3.142857142857143,refused: A11 spelling gap
H000490,loaf bread,35,piece,CAPIZ,PANAY,purchased,2.142857142857143,pieces or units,,refused: nothing anywhere
H000490,pork,1,pack,CAPIZ,PANAY,purchased,50,pack,,refused: nothing anywhere
H000506,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H000516,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,piraso,AKLAN,IBAJAY,purchased,5,pieces or units,2.8,refused: A11 spelling gap
H000612,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,putos,ILOILO,SAN JOAQUIN,purchased,25,putos,,refused: unique price
H000612,carrot,1,binilog,ILOILO,SAN JOAQUIN,purchased,35,pieces or units,2.166666666666667,refused: A11 spelling gap
H000613,carrot,1,putos,ILOILO,DUEAS,purchased,20,pack,,refused: nothing anywhere
H000667,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",12,pieces or units,ILOILO,BAROTAC VIEJO,purchased,20,pieces or units,4.142857142857143,refused: A11 spelling gap
H000668,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,MALAY,purchased,10,pieces or units,4.2,refused: A11 spelling gap
H000686,fresh fish,3,bilog,ILOILO,SAN ENRIQUE,purchased,50,pieces or units,,refused: unique price
H000698,carrot,2,putos,ILOILO,SAN RAFAEL,purchased,10,pack,,refused: nothing anywhere
H000720,loaf bread,4,gagmay nga putos,ILOILO,SARA,purchased,8,small packs,3.136363636363637,refused: A11 spelling gap
H000721,"liquor (e.g, whisky, coconut wine)",5,lipid / lapad,CAPIZ,SAPI-AN,purchased,70,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H000724,fresh fish,3,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H000778,"liquor (e.g, whisky, coconut wine)",1,boll,ANTIQUE,SIBALOM,purchased,20,ball (tuba),,refused: nothing anywhere
H000793,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",7,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,25,small cup,3.142857142857143,refused: A11 spelling gap
H000814,loaf bread,100,100pcs of pandesal,AKLAN,MALINAO,purchased,2,100pcs of pandesal,,refused: nothing anywhere
H000831,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,tub,CAPIZ,JAMINDAN,purchased,120,tub,,refused: unique price
H000920,loaf bread,3,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,6,small packs,3.076923076923077,refused: A11 spelling gap
H001033,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,60,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H001070,loaf bread,5,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,7,small packs,3.076923076923077,refused: A11 spelling gap
H001100,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,gamay nga tasa,ANTIQUE,SEBASTE,purchased,15,small cup,2,refused: A11 spelling gap
H001106,fresh fish,3,putos,ILOILO,LEMERY,purchased,45,pack,1.305555555555556,refused: unique price
H001142,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,ALIMODIAN,purchased,150,long-neck,,refused: unique price
H001207,loaf bread,1,small,CAPIZ,PANITAN,purchased,45,small packs,2.25,refused: A11 spelling gap
H001255,loaf bread,1,small,CAPIZ,PANITAN,purchased,25,small packs,2.25,refused: A11 spelling gap
H001256,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,18,pieces or units,3.5,refused: A11 spelling gap
H001262,pork,1,1 bowl cooked,ILOILO,POTOTAN,gift,30,1 bowl cooked,,refused: nothing anywhere
H001290,carrot,1,putos,ILOILO,IGBARAS,purchased,10,pack,,refused: nothing anywhere
H001312,fresh fish,2,patupa,ILOILO,JANIUAY,purchased,150,patupa,,refused: nothing anywhere
H001364,carrot,3,pieces or units,ILOILO,BANATE,purchased,26.66666666666667,pieces or units,2,refused: A11 spelling gap
H001375,fresh fish,1,bilog,CAPIZ,SAPI-AN,purchased,50,pieces or units,,refused: unique price
H001395,fresh fish,2,bilog,ILOILO,BAROTAC VIEJO,gift,10,pieces or units,,refused: unique price
H001405,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H001483,loaf bread,1,large,NEGROS OCCIDENTAL,CALATRAVA,purchased,60,large packs,,refused: unique price
H001498,loaf bread,2,large,CAPIZ,TAPAZ,purchased,90,large packs,2.125,refused: A11 spelling gap
H001519,cabbage,2,bilog,ANTIQUE,PATNONGON,purchased,78,pieces or units,,refused: unique price
H001553,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,25,pieces or units,3.5,refused: A11 spelling gap
H001556,fresh fish,1,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H001576,loaf bread,1,large,CAPIZ,TAPAZ,purchased,80,large packs,2.125,refused: A11 spelling gap
H001585,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,DUMANGAS,purchased,150,long-neck,,refused: unique price
H001606,fresh fish,2,bilog,ILOILO,SAN ENRIQUE,gift,10,pieces or units,,refused: unique price
H001620,carrot,1,pack,CAPIZ,MA-AYON,purchased,15,pack,,refused: nothing anywhere
H001647,loaf bread,1,large,CAPIZ,TAPAZ,purchased,80,large packs,2.125,refused: A11 spelling gap
H001648,chicken,1,1/2,ILOILO,BAROTAC VIEJO,purchased,140,half,,refused: nothing anywhere
H001674,"liquor (e.g, whisky, coconut wine)",1,long-neck,AKLAN,BURUANGA,purchased,130,long-neck,,refused: unique price
H001681,chicken,1,whole (chicken),AKLAN,NABAS,purchased,200,whole (chicken),,refused: unique price
H001705,carrot,1,putos,ILOILO,IGBARAS,purchased,25,pack,,refused: nothing anywhere
H001708,mango,1,bilog,ILOILO,LAMBUNAO,gift,25,pieces or units,,refused: unique price
H001726,fresh fish,1,bilog,ILOILO,ESTANCIA,purchased,70,pieces or units,,refused: unique price
H001740,fresh fish,2,binilog,ILOILO,MIAGAO,gift,40,pieces or units,3.1,refused: A11 spelling gap
H001740,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,gamay nga tasa,ILOILO,MIAGAO,gift,10,small cup,2.8,refused: A11 spelling gap
H001745,chicken,1,binilog,AKLAN,NABAS,own_production,210,pieces or units,,refused: unique price
H001789,cabbage,1,tumpok,CAPIZ,PANAY,purchased,20,tumpok,,refused: nothing anywhere
H001789,carrot,1,tumpok,CAPIZ,PANAY,purchased,20,tumpok,,refused: nothing anywhere
H001900,loaf bread,10,gagmay nga putos,ILOILO,SARA,purchased,10,small packs,3.136363636363637,refused: A11 spelling gap
H001906,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",35,gamay nga tasa,ANTIQUE,SEBASTE,purchased,10,small cup,2,refused: A11 spelling gap
H001928,fresh fish,2,putos,ILOILO,LEMERY,purchased,90,pack,1.305555555555556,refused: unique price
H001958,fresh fish,7,putos,ILOILO,SARA,purchased,100,pack,3,refused: A11 spelling gap
H001972,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H001979,"crackers, cookies, buiscuits, chips/curls",1,can,ILOILO,AJUY,purchased,350,cans,,refused: nothing anywhere
H001982,fresh fish,7,bilog,CAPIZ,PILAR,purchased,50,pieces or units,,refused: unique price
H002027,"liquor (e.g, whisky, coconut wine)",7,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H002049,carrot,3,piraso,ANTIQUE,PANDAN,purchased,26.66666666666667,pieces or units,2.909090909090909,refused: A11 spelling gap
H002110,"prawns, lobster, shrimp",1,tumpok,ILOILO,DUEAS,purchased,200,tumpok,,refused: unique price
H002136,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H002140,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,30,pieces or units,3.5,refused: A11 spelling gap
H002153,cabbage,1,binilog,AKLAN,MALAY,purchased,30,pieces or units,2.4,refused: A11 spelling gap
H002159,mango,3,bilog,ILOILO,SANTA BARBARA,own_production,16.66666666666667,pieces or units,,refused: unique price
H002220,cabbage,1,bilog,CAPIZ,PONTEVEDRA,purchased,120,pieces or units,,refused: unique price
H002233,chicken,1,putos,ILOILO,DUMANGAS,purchased,100,putos,,refused: nothing anywhere
H002235,pork,1,portion,ILOILO,MINA,gift,60,portion,,refused: nothing anywhere
H002242,"prawns, lobster, shrimp",1,1 k caltex(kabo),CAPIZ,PONTEVEDRA,gift,170,caltex,,refused: nothing anywhere
H002242,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,1 plastic cup,CAPIZ,PONTEVEDRA,purchased,90,plastic cup,,refused: nothing anywhere
H002258,chicken,1,bilog,CAPIZ,PONTEVEDRA,purchased,210,bilog,,refused: unique price
H002284,loaf bread,1,large,CAPIZ,TAPAZ,purchased,85,large packs,2.125,refused: A11 spelling gap
H002304,camote tops,4,bilog,ILOILO,MAASIN,gift,12.5,pieces or units,,refused: nothing anywhere
H002318,mango,5,bilog,ILOILO,MIAGAO,own_production,10,pieces or units,,refused: unique price
H002334,"liquor (e.g, whisky, coconut wine)",7,lapad,AKLAN,IBAJAY,purchased,65,lipid/lapad,2,refused: A11 spelling gap
H002365,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,cup,NEGROS OCCIDENTAL,ISABELA,purchased,40,cup,,refused: nothing anywhere
H002370,loaf bread,1,medium nga pakete,NEGROS OCCIDENTAL,CALATRAVA,purchased,35,medium packs,2,refused: A11 spelling gap
H002406,"liquor (e.g, whisky, coconut wine)",3,glass,ANTIQUE,SAN REMIGIO,gift,10,glass,,refused: nothing anywhere
H002446,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,75,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H002489,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,maliit na tasa,AKLAN,BATAN,purchased,15,small cup,4,refused: A11 spelling gap
H002504,loaf bread,3,gagmay nga putos,ILOILO,SARA,purchased,10,small packs,3.136363636363637,refused: A11 spelling gap
H002527,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",14,pieces or units,ILOILO,SAN JOAQUIN,purchased,10,pieces or units,2.375,refused: A11 spelling gap
H002554,"liquor (e.g, whisky, coconut wine)",3,lapad,AKLAN,IBAJAY,purchased,65,lipid/lapad,2,refused: A11 spelling gap
H002596,rice,14,small rice cooker cup,ILOILO,OTON,purchased,14.28571428571429,small rice cooker cup,,refused: nothing anywhere
H002624,"liquor (e.g, whisky, coconut wine)",4,lapad,AKLAN,IBAJAY,gift,70,lipid/lapad,2,refused: A11 spelling gap
H002624,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H002647,loaf bread,1,medium nga pakete,NEGROS OCCIDENTAL,CALATRAVA,purchased,50,medium packs,2,refused: A11 spelling gap
H002683,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,lata,AKLAN,BATAN,own_production,120,cans,,refused: unique price
H002738,fresh fish,1,bilog,NEGROS OCCIDENTAL,HINIGARAN,purchased,120,pieces or units,,refused: unique price
H002760,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,plastic cup,ILOILO,ALIMODIAN,purchased,20,plastic cup,,refused: nothing anywhere
H002771,pork,5,pieces barbeque,ANTIQUE,PANDAN,purchased,10,pieces barbeque,,refused: nothing anywhere
H002783,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H002826,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H002868,loaf bread,2,gagmay nga putos,ILOILO,SARA,purchased,5,small packs,3.136363636363637,refused: A11 spelling gap
H002913,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,gamay nga tasa,ANTIQUE,SEBASTE,purchased,10,small cup,2,refused: A11 spelling gap
H002926,"liquor (e.g, whisky, coconut wine)",1,lapad,AKLAN,IBAJAY,purchased,65,lipid/lapad,2,refused: A11 spelling gap
H002926,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H002951,mango,2,bilog,ILOILO,CABATUAN,purchased,30,pieces or units,,refused: unique price
H002962,cabbage,1,binilog,AKLAN,MALAY,purchased,75,pieces or units,2.4,refused: A11 spelling gap
H002963,chicken,1,whole (chicken),NEGROS OCCIDENTAL,BINALBAGAN,own_production,300,whole (chicken),,refused: unique price
H003009,loaf bread,1,small,CAPIZ,PANITAN,purchased,65,small packs,2.25,refused: A11 spelling gap
H003037,fresh fish,7,bilog,ILOILO,SAN ENRIQUE,purchased,21.42857142857143,pieces or units,,refused: unique price
H003054,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H003063,loaf bread,1,dalagku nga putos,ILOILO,MAASIN,purchased,60,large packs,2,refused: A11 spelling gap
H003064,"preserved or processed meat (tocino, tapa, longaniza, etc)",2,piraso,AKLAN,BATAN,purchased,12,pieces or units,2.912037037037037,refused: A11 spelling gap
H003082,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,20,pieces or units,3.5,refused: A11 spelling gap
H003106,loaf bread,60,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H003117,loaf bread,6,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H003128,fresh fish,2,pack,ILOILO,SAN ENRIQUE,purchased,50,pack,2,refused: A11 spelling gap
H003139,cabbage,1,binilog,AKLAN,MALAY,purchased,50,pieces or units,2.4,refused: A11 spelling gap
H003148,loaf bread,14,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,6,small packs,3.076923076923077,refused: A11 spelling gap
H003167,carrot,2,binilog,ANTIQUE,BELISON,purchased,20,pieces or units,2,refused: A11 spelling gap
H003206,loaf bread,2,dalagku nga putos,ILOILO,MAASIN,purchased,100,large packs,2,refused: A11 spelling gap
H003255,cabbage,1,mix vegetables (per tumbok),CAPIZ,PILAR,purchased,20,mix vegetables (per tumpok),,refused: nothing anywhere
H003255,carrot,1,mix vegetables (per tumpok),CAPIZ,PILAR,purchased,20,mix vegetables (per tumpok),,refused: nothing anywhere
H003266,camote,1,small size plastic,CAPIZ,MA-AYON,gift,50,small size plastic,,refused: nothing anywhere
H003284,loaf bread,21,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H003311,mango,5,bilog,ILOILO,BALASAN,gift,10,pieces or units,,refused: unique price
H003334,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",7,gamay nga tasa,ANTIQUE,SEBASTE,purchased,20,small cup,2,refused: A11 spelling gap
H003348,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,25,pieces or units,3.5,refused: A11 spelling gap
