pull_province,pull_item,pull_municipal_city,p,rung,harmonized_nsu_unit,grams,n_g,weighing_approach,d_thin,gpp,cv_gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,65,2,putos,300,3,size-based,0,4.615384615384615,.4922658415644239,15,13,10,3.157894736842105,205.2631578947368,.6842105263157895
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,130,2,lipid/lapad,375,3,size-based,0,2.884615384615385,.2637839245228962,10,8,9,4.549632352941177,591.4522058823529,1.577205882352941
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,97.5,2,lipid/lapad,375,3,size-based,0,3.846153846153846,.2637839245228962,10,8,9,4.549632352941177,443.5891544117647,1.182904411764706
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,120,1,long-neck,425,2,size-based,1,3.541666666666667,.5724217485176846,14,14,9,1.858030372756558,222.9636447307869,.5246203405430281
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,140,2,long-neck,750,3,size-based,0,5.357142857142857,.5724217485176846,14,14,9,1.858030372756558,260.1242521859181,.3468323362478908
AKLAN,loaf bread,BATAN,160,3,large packs,620,5,size-based,0,3.875,.1855166627815084,6,6,6,4.162601626016261,666.0162601626017,1.074219774455809
AKLAN,loaf bread,BATAN,65,2,medium packs,450,1,size-based,1,6.923076923076923,.1652133810060914,6,5,5,6.888888888888889,447.7777777777778,.9950617283950618
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,51.5,1,pieces or units,45,1,size-based,1,.8737864077669902,.2996553737966628,6,6,6,1.217391304347826,62.69565217391305,1.393236714975846
AKLAN,chicken,BURUANGA,280,2,whole (chicken),1045,4,size-based,0,3.732142857142857,.2552423897717816,13,12,9,4.401785714285714,1232.5,1.179425837320574
AKLAN,chicken,BURUANGA,350,3,whole (chicken),1325,3,size-based,0,3.785714285714286,.2552423897717816,13,12,9,4.401785714285714,1540.625,1.162735849056604
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,52,1,putos,290,8,price-quantity,0,5.576923076923077,.4922658415644239,15,13,10,3.743589743589744,194.6666666666667,.6712643678160919
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,71,2,putos,90,8,price-quantity,0,1.267605633802817,.4922658415644239,15,13,10,3.743589743589744,265.7948717948718,2.953276353276354
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,95,3,putos,300,8,price-quantity,0,3.157894736842105,.4922658415644239,15,13,10,3.743589743589744,355.6410256410256,1.185470085470085
AKLAN,loaf bread,BURUANGA,20,1,small packs,350,4,size-based,0,17.5,.409339472265992,6,6,5,12.59130434782609,251.8260869565217,.7195031055900621
AKLAN,loaf bread,BURUANGA,57.5,1,small packs,350,4,size-based,0,6.086956521739131,.409339472265992,6,6,5,12.59130434782609,724,2.068571428571429
