pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,nu_l0,weighing_approach,w_l1,n_l1,nu_l1,w_l2,n_l2,nu_l2,w_l3,n_l3,nu_l3,grams_used,n_g_used,nu_used,fallback_level,unconvertible,share_uncertain_used
chicken,AKLAN,BURUANGA,whole (chicken),g,medium,1045,4,0,3,1160,7,0,1265,83,1,1120,468,2,1045,4,0,the cell's own weighings,0,0
chicken,AKLAN,BURUANGA,whole (chicken),g,large,1325,3,0,3,1160,7,0,1265,83,1,1120,468,2,1325,3,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,pack,g,medium,98,1,1,2,98,1,1,98,1,1,300,63,4,300,63,4,item x unit (national),0,.0634920634920635
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,g,small,290,8,5,2,265,24,12,280,93,55,210,482,249,290,8,5,the cell's own weighings,0,.625
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,g,medium,90,8,0,2,265,24,12,280,93,55,210,482,249,90,8,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,g,large,300,8,7,2,265,24,12,280,93,55,210,482,249,300,8,7,the cell's own weighings,0,.875
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BURUANGA,pack,g,small,60,3,3,3,60,3,3,60,3,3,65,4,3,60,3,3,the cell's own weighings,0,1
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BURUANGA,small cup,g,small,117.5,2,0,3,117.5,2,0,115,10,1,100,120,18,115,10,1,province x item x unit,0,.1
"liquor (e.g, whisky, coconut wine)",AKLAN,BURUANGA,lipid/lapad,mL,medium,375,9,0,3,375,9,0,375,76,0,375,618,7,375,9,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BURUANGA,long-neck,mL,large,750,9,0,3,750,9,0,750,104,0,750,478,1,750,9,0,the cell's own weighings,0,0
loaf bread,AKLAN,BURUANGA,large packs,g,large,600,3,0,3,600,3,0,640,43,0,640,411,6,600,3,0,the cell's own weighings,0,0
loaf bread,AKLAN,BURUANGA,medium packs,g,medium,450,5,0,3,450,5,0,450,51,0,450,352,0,450,5,0,the cell's own weighings,0,0
loaf bread,AKLAN,BURUANGA,small packs,g,small,350,4,0,3,350,4,0,360,33,0,370,259,2,350,4,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,pieces or units,g,small,250,3,0,3,250,3,0,65,28,3,65,33,7,250,3,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,putos,g,small,220,5,0,3,225,8,0,300,81,7,250,473,60,220,5,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,putos,g,medium,370,3,0,3,225,8,0,300,81,7,250,473,60,370,3,0,the cell's own weighings,0,0
cabbage,AKLAN,IBAJAY,pieces or units,g,small,390,5,1,3,627.5,14,2,722.5,226,14,655,1306,73,390,5,1,the cell's own weighings,0,.2
cabbage,AKLAN,IBAJAY,pieces or units,g,medium,645,5,0,3,627.5,14,2,722.5,226,14,655,1306,73,645,5,0,the cell's own weighings,0,0
cabbage,AKLAN,IBAJAY,pieces or units,g,large,825,4,1,3,627.5,14,2,722.5,226,14,655,1306,73,825,4,1,the cell's own weighings,0,.25
camote,AKLAN,IBAJAY,binilog,g,small,80,3,0,3,150,9,3,150,39,9,130,56,9,150,9,3,cell pooled across sizes,0,.3333333333333333
camote,AKLAN,IBAJAY,binilog,g,medium,172.5,4,1,3,150,9,3,150,39,9,130,56,9,150,9,3,cell pooled across sizes,0,.3333333333333333
camote,AKLAN,IBAJAY,binilog,g,large,300,2,2,3,150,9,3,150,39,9,130,56,9,150,9,3,cell pooled across sizes,0,.3333333333333333
camote tops,AKLAN,IBAJAY,bugkos,g,medium,162.5,4,0,1,162.5,4,0,150,37,2,195,449,63,162.5,4,0,the cell's own weighings,0,0
carrot,AKLAN,IBAJAY,pieces or units,g,small,75,5,1,3,145,15,3,145,195,31,140,1169,152,75,5,1,the cell's own weighings,0,.2
carrot,AKLAN,IBAJAY,pieces or units,g,medium,145,6,0,3,145,15,3,145,195,31,140,1169,152,145,6,0,the cell's own weighings,0,0
carrot,AKLAN,IBAJAY,pieces or units,g,large,227.5,4,2,3,145,15,3,145,195,31,140,1169,152,227.5,4,2,the cell's own weighings,0,.5
chicken,AKLAN,IBAJAY,pieces or units,g,small,90,3,1,3,335,7,4,385,45,23,380,108,50,335,7,4,cell pooled across sizes,0,.5714285714285714
chicken,AKLAN,IBAJAY,pieces or units,g,medium,442.5,2,1,3,335,7,4,385,45,23,380,108,50,335,7,4,cell pooled across sizes,0,.5714285714285714
chicken,AKLAN,IBAJAY,pieces or units,g,large,665,2,2,3,335,7,4,385,45,23,380,108,50,335,7,4,cell pooled across sizes,0,.5714285714285714
chicken,AKLAN,IBAJAY,whole (chicken),g,medium,1380,4,0,3,1445,7,0,1265,83,1,1120,468,2,1380,4,0,the cell's own weighings,0,0
chicken,AKLAN,IBAJAY,whole (chicken),g,large,1530,3,0,3,1445,7,0,1265,83,1,1120,468,2,1530,3,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,pieces or units,g,small,25,5,0,3,40,14,4,30,96,13,32,505,68,25,5,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,pieces or units,g,medium,40,5,0,3,40,14,4,30,96,13,32,505,68,40,5,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,pieces or units,g,large,81.5,4,4,3,40,14,4,30,96,13,32,505,68,81.5,4,4,the cell's own weighings,0,1
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,putos,g,medium,300,2,2,2,300,2,2,280,93,55,210,482,249,280,93,55,province x item x unit,0,.5913978494623656
fresh fish,AKLAN,IBAJAY,pieces or units,g,small,103,5,5,3,235,14,6,387.5,62,22,390,685,213,103,5,5,the cell's own weighings,0,1
