pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,nu_l0,weighing_approach,w_l1,n_l1,nu_l1,w_l2,n_l2,nu_l2,w_l3,n_l3,nu_l3,grams_used,n_g_used,nu_used,fallback_level,unconvertible,share_uncertain_used
loaf bread,ILOILO,CONCEPCION,small packs,g,small,220,1,0,3,220,1,0,385,123,2,370,259,2,385,123,2,province x item x unit,0,.016260162601626
loaf bread,ILOILO,CONCEPCION,tama-tama nga putos,g,medium,450,1,0,3,450,1,0,450,16,0,450,23,0,450,16,0,province x item x unit,0,0
"prawns, lobster, shrimp",ILOILO,CONCEPCION,tumpok,g,small,255,1,0,3,380,3,1,250,55,10,260,147,27,380,3,1,cell pooled across sizes,0,.3333333333333333
"prawns, lobster, shrimp",ILOILO,CONCEPCION,tumpok,g,medium,442.5,2,1,3,380,3,1,250,55,10,260,147,27,380,3,1,cell pooled across sizes,0,.3333333333333333
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,CONCEPCION,bilog,g,small,155,4,0,3,282.5,10,3,250,116,33,229,222,91,155,4,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,CONCEPCION,bilog,g,medium,290,3,0,3,282.5,10,3,250,116,33,229,222,91,290,3,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,CONCEPCION,bilog,g,large,605,3,3,3,282.5,10,3,250,116,33,229,222,91,605,3,3,the cell's own weighings,0,1
cabbage,ILOILO,DINGLE,pack,g,medium,150,3,0,3,150,3,0,135,26,1,150,43,6,150,3,0,the cell's own weighings,0,0
cabbage,ILOILO,DINGLE,pieces or units,g,small,570,3,0,3,657.5,8,0,660,543,32,655,1306,73,657.5,8,0,cell pooled across sizes,0,0
cabbage,ILOILO,DINGLE,pieces or units,g,medium,665,3,0,3,657.5,8,0,660,543,32,655,1306,73,657.5,8,0,cell pooled across sizes,0,0
cabbage,ILOILO,DINGLE,pieces or units,g,large,1060,2,0,3,657.5,8,0,660,543,32,655,1306,73,657.5,8,0,cell pooled across sizes,0,0
camote,ILOILO,DINGLE,bilog,g,small,72.5,2,0,3,82.5,4,0,140,296,116,140,509,195,82.5,4,0,cell pooled across sizes,0,0
camote,ILOILO,DINGLE,bilog,g,medium,112.5,2,0,3,82.5,4,0,140,296,116,140,509,195,82.5,4,0,cell pooled across sizes,0,0
camote tops,ILOILO,DINGLE,bugkos,g,small,175,3,0,3,175,3,0,170,218,16,195,449,63,175,3,0,the cell's own weighings,0,0
carrot,ILOILO,DINGLE,pieces or units,g,small,100,3,0,3,175,7,1,135,538,74,140,1169,152,175,7,1,cell pooled across sizes,0,.1428571428571428
carrot,ILOILO,DINGLE,pieces or units,g,medium,180,2,0,3,175,7,1,135,538,74,140,1169,152,175,7,1,cell pooled across sizes,0,.1428571428571428
carrot,ILOILO,DINGLE,pieces or units,g,large,222.5,2,1,3,175,7,1,135,538,74,140,1169,152,175,7,1,cell pooled across sizes,0,.1428571428571428
chicken,ILOILO,DINGLE,bilog,g,medium,1047.5,2,0,3,1102.5,4,0,1072.5,130,0,1095,230,3,1102.5,4,0,cell pooled across sizes,0,0
chicken,ILOILO,DINGLE,bilog,g,large,1187.5,2,0,3,1102.5,4,0,1072.5,130,0,1095,230,3,1102.5,4,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DINGLE,pieces or units,g,small,27,3,0,3,28,5,1,32,227,34,32,505,68,28,5,1,cell pooled across sizes,0,.2
"crackers, cookies, buiscuits, chips/curls",ILOILO,DINGLE,pieces or units,g,medium,61.5,2,1,3,28,5,1,32,227,34,32,505,68,28,5,1,cell pooled across sizes,0,.2
"crackers, cookies, buiscuits, chips/curls",ILOILO,DINGLE,putos,g,small,24,3,0,3,65,7,0,100,230,105,210,482,249,65,7,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DINGLE,putos,g,medium,77.5,2,0,3,65,7,0,100,230,105,210,482,249,65,7,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DINGLE,putos,g,large,104,2,0,3,65,7,0,100,230,105,210,482,249,65,7,0,cell pooled across sizes,0,0
fresh fish,ILOILO,DINGLE,pieces or units,g,small,115,3,2,3,245,9,3,390,368,102,390,685,213,245,9,3,cell pooled across sizes,0,.3333333333333333
fresh fish,ILOILO,DINGLE,pieces or units,g,medium,285,4,0,3,245,9,3,390,368,102,390,685,213,245,9,3,cell pooled across sizes,0,.3333333333333333
fresh fish,ILOILO,DINGLE,pieces or units,g,large,627.5,2,1,3,245,9,3,390,368,102,390,685,213,245,9,3,cell pooled across sizes,0,.3333333333333333
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DINGLE,cone,mL,medium,110,5,1,3,110,5,1,110,20,2,110,25,2,110,5,1,the cell's own weighings,0,.2
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DINGLE,putos,g,small,50,1,0,3,50,1,0,60,52,0,58,82,0,60,52,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DINGLE,putos,mL,small,55,2,0,3,65,3,0,65,60,1,65,148,2,65,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DINGLE,putos,mL,medium,85,1,0,3,65,3,0,65,60,1,65,148,2,65,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DINGLE,small cup,mL,small,100,1,0,3,140,2,0,100,75,2,100,185,5,100,75,2,province x item x unit,0,.0266666666666667
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DINGLE,small cup,mL,large,180,1,0,3,140,2,0,100,75,2,100,185,5,100,75,2,province x item x unit,0,.0266666666666667
"liquor (e.g, whisky, coconut wine)",ILOILO,DINGLE,lipid/lapad,mL,medium,375,5,0,3,375,5,0,375,267,4,375,618,7,375,5,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DINGLE,long-neck,mL,medium,750,5,0,3,750,6,0,750,185,1,750,478,1,750,6,0,cell pooled across sizes,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DINGLE,long-neck,mL,large,1000,1,0,3,750,6,0,750,185,1,750,478,1,750,6,0,cell pooled across sizes,0,0
loaf bread,ILOILO,DINGLE,large packs,g,large,640,4,0,3,640,4,0,640,188,1,640,411,6,640,4,0,the cell's own weighings,0,0
loaf bread,ILOILO,DINGLE,medium packs,g,medium,497.5,4,0,3,497.5,4,0,450,160,0,450,352,0,497.5,4,0,the cell's own weighings,0,0
loaf bread,ILOILO,DINGLE,small packs,g,small,400,3,0,3,400,3,0,385,123,2,370,259,2,400,3,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DINGLE,bilog,g,small,250,4,1,3,250,4,1,250,116,33,229,222,91,250,4,1,the cell's own weighings,0,.25
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DINGLE,pack,g,small,250,3,0,3,250,4,0,250,70,12,250,85,12,250,4,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DINGLE,pack,g,medium,500,1,0,3,250,4,0,250,70,12,250,85,12,250,4,0,cell pooled across sizes,0,0
cabbage,ILOILO,DUEAS,pieces or units,g,small,540,7,0,3,695,21,0,660,543,32,655,1306,73,540,7,0,the cell's own weighings,0,0
cabbage,ILOILO,DUEAS,pieces or units,g,medium,717.5,8,0,3,695,21,0,660,543,32,655,1306,73,717.5,8,0,the cell's own weighings,0,0
cabbage,ILOILO,DUEAS,pieces or units,g,large,902.5,6,0,3,695,21,0,660,543,32,655,1306,73,902.5,6,0,the cell's own weighings,0,0
camote,ILOILO,DUEAS,bilog,g,small,100,4,0,3,147.5,12,5,140,296,116,140,509,195,100,4,0,the cell's own weighings,0,0
camote,ILOILO,DUEAS,bilog,g,medium,150,5,2,3,147.5,12,5,140,296,116,140,509,195,150,5,2,the cell's own weighings,0,.4
camote,ILOILO,DUEAS,bilog,g,large,325,3,3,3,147.5,12,5,140,296,116,140,509,195,325,3,3,the cell's own weighings,0,1
camote tops,ILOILO,DUEAS,bugkos,g,small,155,5,0,3,155,5,0,170,218,16,195,449,63,155,5,0,the cell's own weighings,0,0
carrot,ILOILO,DUEAS,pieces or units,g,small,100,8,0,3,122.5,22,0,135,538,74,140,1169,152,100,8,0,the cell's own weighings,0,0
carrot,ILOILO,DUEAS,pieces or units,g,medium,127.5,8,0,3,122.5,22,0,135,538,74,140,1169,152,127.5,8,0,the cell's own weighings,0,0
carrot,ILOILO,DUEAS,pieces or units,g,large,167.5,6,0,3,122.5,22,0,135,538,74,140,1169,152,167.5,6,0,the cell's own weighings,0,0
chicken,ILOILO,DUEAS,whole (chicken),g,medium,955,3,0,3,1130,5,0,1035,180,1,1120,468,2,1130,5,0,cell pooled across sizes,0,0
chicken,ILOILO,DUEAS,whole (chicken),g,large,1310,2,0,3,1130,5,0,1035,180,1,1120,468,2,1130,5,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,bucket,g,small,1300,2,0,3,1500,3,0,1500,5,1,1500,7,1,1500,3,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,bucket,g,medium,2400,1,0,3,1500,3,0,1500,5,1,1500,7,1,1500,3,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,putos,g,small,23,8,8,3,42.5,20,11,100,230,105,210,482,249,23,8,8,the cell's own weighings,0,1
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,putos,g,medium,50,6,3,3,42.5,20,11,100,230,105,210,482,249,50,6,3,the cell's own weighings,0,.5
"crackers, cookies, buiscuits, chips/curls",ILOILO,DUEAS,putos,g,large,87.5,6,0,3,42.5,20,11,100,230,105,210,482,249,87.5,6,0,the cell's own weighings,0,0
fresh fish,ILOILO,DUEAS,pieces or units,g,small,100,3,2,3,565,9,5,390,368,102,390,685,213,565,9,5,cell pooled across sizes,0,.5555555555555556
fresh fish,ILOILO,DUEAS,pieces or units,g,medium,577.5,4,1,3,565,9,5,390,368,102,390,685,213,565,9,5,cell pooled across sizes,0,.5555555555555556
fresh fish,ILOILO,DUEAS,pieces or units,g,large,702.5,2,2,3,565,9,5,390,368,102,390,685,213,565,9,5,cell pooled across sizes,0,.5555555555555556
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,pieces or units,mL,small,110,3,0,3,110,3,0,100,60,0,100,166,4,110,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,putos,g,small,350,1,0,3,350,1,0,60,52,0,58,82,0,60,52,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,putos,mL,small,550,4,0,3,550,4,0,65,60,1,65,148,2,550,4,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,small cup,mL,small,110,4,0,3,120,5,1,100,75,2,100,185,5,120,5,1,cell pooled across sizes,0,.2
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUEAS,small cup,mL,medium,350,1,1,3,120,5,1,100,75,2,100,185,5,120,5,1,cell pooled across sizes,0,.2
"liquor (e.g, whisky, coconut wine)",ILOILO,DUEAS,lipid/lapad,mL,medium,375,8,0,3,375,8,0,375,267,4,375,618,7,375,8,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DUEAS,long-neck,mL,medium,750,8,0,3,750,10,0,750,185,1,750,478,1,750,10,0,cell pooled across sizes,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,DUEAS,long-neck,mL,large,1000,2,0,3,750,10,0,750,185,1,750,478,1,750,10,0,cell pooled across sizes,0,0
loaf bread,ILOILO,DUEAS,large packs,g,large,667.5,8,0,3,667.5,8,0,640,188,1,640,411,6,667.5,8,0,the cell's own weighings,0,0
loaf bread,ILOILO,DUEAS,medium packs,g,medium,500,6,0,3,500,6,0,450,160,0,450,352,0,500,6,0,the cell's own weighings,0,0
loaf bread,ILOILO,DUEAS,small packs,g,small,360,8,2,3,360,8,2,385,123,2,370,259,2,360,8,2,the cell's own weighings,0,.25
loaf bread,ILOILO,DUEAS,tama-tama nga putos,g,medium,345,3,0,3,345,3,0,450,16,0,450,23,0,345,3,0,the cell's own weighings,0,0
mango,ILOILO,DUEAS,pieces or units,g,small,207.5,4,0,3,270,12,0,230,289,0,230,539,1,207.5,4,0,the cell's own weighings,0,0
mango,ILOILO,DUEAS,pieces or units,g,medium,275,5,0,3,270,12,0,230,289,0,230,539,1,275,5,0,the cell's own weighings,0,0
mango,ILOILO,DUEAS,pieces or units,g,large,340,3,0,3,270,12,0,230,289,0,230,539,1,340,3,0,the cell's own weighings,0,0
"prawns, lobster, shrimp",ILOILO,DUEAS,tumpok,g,medium,230,1,0,3,230,1,0,250,55,10,260,147,27,250,55,10,province x item x unit,0,.1818181818181818
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUEAS,bilog,g,small,250,5,0,3,250,5,0,250,116,33,229,222,91,250,5,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUEAS,putos,g,small,250,5,0,3,250,5,0,250,182,29,250,473,60,250,5,0,the cell's own weighings,0,0
rice,ILOILO,DUEAS,gantang,g,conventional_nsu,2250,7,0,1,2250,7,0,2245,19,0,2247.5,28,0,2250,7,0,the cell's own weighings,0,0
cabbage,ILOILO,DUMANGAS,pieces or units,g,small,537.5,2,0,3,705,6,0,660,543,32,655,1306,73,705,6,0,cell pooled across sizes,0,0
cabbage,ILOILO,DUMANGAS,pieces or units,g,medium,760,3,0,3,705,6,0,660,543,32,655,1306,73,705,6,0,cell pooled across sizes,0,0
cabbage,ILOILO,DUMANGAS,pieces or units,g,large,870,1,0,3,705,6,0,660,543,32,655,1306,73,705,6,0,cell pooled across sizes,0,0
camote tops,ILOILO,DUMANGAS,bugkos,g,small,140,2,0,3,140,2,0,170,218,16,195,449,63,170,218,16,province x item x unit,0,.073394495412844
carrot,ILOILO,DUMANGAS,pieces or units,g,small,102.5,2,0,3,145,6,1,135,538,74,140,1169,152,145,6,1,cell pooled across sizes,0,.1666666666666667
carrot,ILOILO,DUMANGAS,pieces or units,g,medium,150,3,0,3,145,6,1,135,538,74,140,1169,152,145,6,1,cell pooled across sizes,0,.1666666666666667
carrot,ILOILO,DUMANGAS,pieces or units,g,large,240,1,1,3,145,6,1,135,538,74,140,1169,152,145,6,1,cell pooled across sizes,0,.1666666666666667
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUMANGAS,cone,mL,small,105,2,0,3,105,2,0,110,20,2,110,25,2,110,20,2,province x item x unit,0,.1
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUMANGAS,pieces or units,mL,small,54,4,0,3,54,4,0,100,60,0,100,166,4,54,4,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,DUMANGAS,small cup,mL,small,140,2,0,3,140,2,0,100,75,2,100,185,5,100,75,2,province x item x unit,0,.0266666666666667
"liquor (e.g, whisky, coconut wine)",ILOILO,DUMANGAS,lipid/lapad,mL,medium,375,2,0,3,375,2,0,375,267,4,375,618,7,375,267,4,province x item x unit,0,.0149812734082397
"liquor (e.g, whisky, coconut wine)",ILOILO,DUMANGAS,long-neck,mL,large,750,2,0,3,750,2,0,750,185,1,750,478,1,750,185,1,province x item x unit,0,.0054054054054054
loaf bread,ILOILO,DUMANGAS,large packs,g,large,640,2,0,3,640,2,0,640,188,1,640,411,6,640,188,1,province x item x unit,0,.0053191489361702
loaf bread,ILOILO,DUMANGAS,medium packs,g,medium,400,1,0,3,400,1,0,450,160,0,450,352,0,450,160,0,province x item x unit,0,0
loaf bread,ILOILO,DUMANGAS,small packs,g,small,220,2,0,3,220,2,0,385,123,2,370,259,2,385,123,2,province x item x unit,0,.016260162601626
mango,ILOILO,DUMANGAS,pieces or units,g,small,192.5,2,0,3,210,6,0,230,289,0,230,539,1,210,6,0,cell pooled across sizes,0,0
mango,ILOILO,DUMANGAS,pieces or units,g,medium,215,3,0,3,210,6,0,230,289,0,230,539,1,210,6,0,cell pooled across sizes,0,0
mango,ILOILO,DUMANGAS,pieces or units,g,large,270,1,0,3,210,6,0,230,289,0,230,539,1,210,6,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,bilog,g,small,200,1,0,3,200,1,0,250,116,33,229,222,91,250,116,33,province x item x unit,0,.2844827586206897
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,pack,g,small,285,1,0,3,285,1,0,250,70,12,250,85,12,250,70,12,province x item x unit,0,.1714285714285714
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,putos,g,medium,560,1,1,3,620,2,2,250,182,29,250,473,60,250,182,29,province x item x unit,0,.1593406593406593
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,DUMANGAS,putos,g,large,680,1,1,3,620,2,2,250,182,29,250,473,60,250,182,29,province x item x unit,0,.1593406593406593
cabbage,ILOILO,ESTANCIA,pack,g,small,205,1,0,3,205,1,0,135,26,1,150,43,6,135,26,1,province x item x unit,0,.0384615384615385
cabbage,ILOILO,ESTANCIA,pieces or units,g,small,327.5,4,0,3,625,12,1,660,543,32,655,1306,73,327.5,4,0,the cell's own weighings,0,0
cabbage,ILOILO,ESTANCIA,pieces or units,g,medium,705,5,0,3,625,12,1,660,543,32,655,1306,73,705,5,0,the cell's own weighings,0,0
cabbage,ILOILO,ESTANCIA,pieces or units,g,large,950,3,1,3,625,12,1,660,543,32,655,1306,73,950,3,1,the cell's own weighings,0,.3333333333333333
camote tops,ILOILO,ESTANCIA,bugkos,g,small,152.5,4,0,3,317.5,10,4,170,218,16,195,449,63,317.5,10,4,cell pooled across sizes,0,.4
camote tops,ILOILO,ESTANCIA,bugkos,g,medium,342.5,4,2,3,317.5,10,4,170,218,16,195,449,63,317.5,10,4,cell pooled across sizes,0,.4
camote tops,ILOILO,ESTANCIA,bugkos,g,large,632.5,2,2,3,317.5,10,4,170,218,16,195,449,63,317.5,10,4,cell pooled across sizes,0,.4
carrot,ILOILO,ESTANCIA,pieces or units,g,small,85,5,1,3,120,11,4,135,538,74,140,1169,152,85,5,1,the cell's own weighings,0,.2
carrot,ILOILO,ESTANCIA,pieces or units,g,medium,145,3,0,3,120,11,4,135,538,74,140,1169,152,145,3,0,the cell's own weighings,0,0
carrot,ILOILO,ESTANCIA,pieces or units,g,large,265,3,3,3,120,11,4,135,538,74,140,1169,152,265,3,3,the cell's own weighings,0,1
chicken,ILOILO,ESTANCIA,whole (chicken),g,small,810,3,0,3,930,9,0,1035,180,1,1120,468,2,930,9,0,cell pooled across sizes,0,0
chicken,ILOILO,ESTANCIA,whole (chicken),g,medium,977.5,4,0,3,930,9,0,1035,180,1,1120,468,2,930,9,0,cell pooled across sizes,0,0
chicken,ILOILO,ESTANCIA,whole (chicken),g,large,1237.5,2,0,3,930,9,0,1035,180,1,1120,468,2,930,9,0,cell pooled across sizes,0,0
fresh fish,ILOILO,ESTANCIA,pieces or units,g,small,125,5,3,3,160,15,3,390,368,102,390,685,213,125,5,3,the cell's own weighings,0,.6
fresh fish,ILOILO,ESTANCIA,pieces or units,g,medium,167.5,6,0,3,160,15,3,390,368,102,390,685,213,167.5,6,0,the cell's own weighings,0,0
fresh fish,ILOILO,ESTANCIA,pieces or units,g,large,262.5,4,0,3,160,15,3,390,368,102,390,685,213,262.5,4,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ESTANCIA,cone,mL,small,110,3,0,3,110,3,0,110,20,2,110,25,2,110,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ESTANCIA,pieces or units,mL,small,600,3,0,3,600,3,0,100,60,0,100,166,4,600,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ESTANCIA,small cup,mL,small,100,3,0,3,100,3,0,100,75,2,100,185,5,100,3,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,ESTANCIA,lipid/lapad,mL,medium,375,7,0,3,375,7,0,375,267,4,375,618,7,375,7,0,the cell's own weighings,0,0
loaf bread,ILOILO,ESTANCIA,large packs,g,large,640,3,0,3,640,3,0,640,188,1,640,411,6,640,3,0,the cell's own weighings,0,0
loaf bread,ILOILO,ESTANCIA,medium packs,g,medium,450,3,0,3,450,3,0,450,160,0,450,352,0,450,3,0,the cell's own weighings,0,0
loaf bread,ILOILO,ESTANCIA,small packs,g,small,220,1,0,3,220,1,0,385,123,2,370,259,2,385,123,2,province x item x unit,0,.016260162601626
mango,ILOILO,ESTANCIA,pieces or units,g,small,185,4,0,3,232.5,12,0,230,289,0,230,539,1,185,4,0,the cell's own weighings,0,0
mango,ILOILO,ESTANCIA,pieces or units,g,medium,235,5,0,3,232.5,12,0,230,289,0,230,539,1,235,5,0,the cell's own weighings,0,0
mango,ILOILO,ESTANCIA,pieces or units,g,large,310,3,0,3,232.5,12,0,230,289,0,230,539,1,310,3,0,the cell's own weighings,0,0
"prawns, lobster, shrimp",ILOILO,ESTANCIA,tumpok,g,small,65,3,2,3,145,9,2,250,55,10,260,147,27,145,9,2,cell pooled across sizes,0,.2222222222222222
"prawns, lobster, shrimp",ILOILO,ESTANCIA,tumpok,g,medium,152.5,4,0,3,145,9,2,250,55,10,260,147,27,145,9,2,cell pooled across sizes,0,.2222222222222222
"prawns, lobster, shrimp",ILOILO,ESTANCIA,tumpok,g,large,237.5,2,0,3,145,9,2,250,55,10,260,147,27,145,9,2,cell pooled across sizes,0,.2222222222222222
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ESTANCIA,bilog,g,large,70,2,2,3,70,2,2,250,116,33,229,222,91,250,116,33,province x item x unit,0,.2844827586206897
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ESTANCIA,putos,g,small,250,5,0,3,250,6,1,250,182,29,250,473,60,250,6,1,cell pooled across sizes,0,.1666666666666667
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ESTANCIA,putos,g,large,1000,1,1,3,250,6,1,250,182,29,250,473,60,250,6,1,cell pooled across sizes,0,.1666666666666667
cabbage,ILOILO,GUIMBAL,pieces or units,g,small,385,9,0,3,570,27,1,660,543,32,655,1306,73,385,9,0,the cell's own weighings,0,0
cabbage,ILOILO,GUIMBAL,pieces or units,g,medium,587.5,10,0,3,570,27,1,660,543,32,655,1306,73,587.5,10,0,the cell's own weighings,0,0
cabbage,ILOILO,GUIMBAL,pieces or units,g,large,785,8,1,3,570,27,1,660,543,32,655,1306,73,785,8,1,the cell's own weighings,0,.125
camote tops,ILOILO,GUIMBAL,bugkos,g,small,135,9,1,3,135,9,1,170,218,16,195,449,63,135,9,1,the cell's own weighings,0,.1111111111111111
carrot,ILOILO,GUIMBAL,pieces or units,g,small,100,9,0,3,122.5,24,2,135,538,74,140,1169,152,100,9,0,the cell's own weighings,0,0
carrot,ILOILO,GUIMBAL,pieces or units,g,medium,125,8,0,3,122.5,24,2,135,538,74,140,1169,152,125,8,0,the cell's own weighings,0,0
carrot,ILOILO,GUIMBAL,pieces or units,g,large,205,7,2,3,122.5,24,2,135,538,74,140,1169,152,205,7,2,the cell's own weighings,0,.2857142857142857
chicken,ILOILO,GUIMBAL,bilog,g,small,200,6,0,3,200,6,0,1072.5,130,0,1095,230,3,200,6,0,the cell's own weighings,0,0
chicken,ILOILO,GUIMBAL,whole (chicken),g,small,857.5,4,0,3,1180,12,0,1035,180,1,1120,468,2,857.5,4,0,the cell's own weighings,0,0
chicken,ILOILO,GUIMBAL,whole (chicken),g,medium,1225,5,0,3,1180,12,0,1035,180,1,1120,468,2,1225,5,0,the cell's own weighings,0,0
chicken,ILOILO,GUIMBAL,whole (chicken),g,large,1575,3,0,3,1180,12,0,1035,180,1,1120,468,2,1575,3,0,the cell's own weighings,0,0
fresh fish,ILOILO,GUIMBAL,pieces or units,g,small,390,5,1,3,530,11,4,390,368,102,390,685,213,390,5,1,the cell's own weighings,0,.2
fresh fish,ILOILO,GUIMBAL,pieces or units,g,medium,565,3,0,3,530,11,4,390,368,102,390,685,213,565,3,0,the cell's own weighings,0,0
fresh fish,ILOILO,GUIMBAL,pieces or units,g,large,650,3,3,3,530,11,4,390,368,102,390,685,213,650,3,3,the cell's own weighings,0,1
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,GUIMBAL,pieces or units,g,small,100,2,0,3,110,3,0,55,59,7,60,94,12,110,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,GUIMBAL,pieces or units,g,medium,135,1,0,3,110,3,0,55,59,7,60,94,12,110,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,GUIMBAL,small cup,g,small,125,1,0,3,125,1,0,100,71,15,100,120,18,100,71,15,province x item x unit,0,.2112676056338028
loaf bread,ILOILO,GUIMBAL,large packs,g,large,645,7,0,3,645,7,0,640,188,1,640,411,6,645,7,0,the cell's own weighings,0,0
loaf bread,ILOILO,GUIMBAL,medium packs,g,medium,465,5,0,3,465,5,0,450,160,0,450,352,0,465,5,0,the cell's own weighings,0,0
loaf bread,ILOILO,GUIMBAL,small packs,g,small,262.5,2,0,3,450,5,0,385,123,2,370,259,2,450,5,0,cell pooled across sizes,0,0
loaf bread,ILOILO,GUIMBAL,small packs,g,medium,512.5,2,0,3,450,5,0,385,123,2,370,259,2,450,5,0,cell pooled across sizes,0,0
loaf bread,ILOILO,GUIMBAL,small packs,g,large,720,1,0,3,450,5,0,385,123,2,370,259,2,450,5,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,GUIMBAL,putos,g,small,185,5,0,3,325,15,1,250,182,29,250,473,60,185,5,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,GUIMBAL,putos,g,medium,325,6,0,3,325,15,1,250,182,29,250,473,60,325,6,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,GUIMBAL,putos,g,large,550,4,1,3,325,15,1,250,182,29,250,473,60,550,4,1,the cell's own weighings,0,.25
rice,ILOILO,GUIMBAL,salmon,g,conventional_nsu,377.5,4,0,1,377.5,4,0,410,21,0,410,21,0,377.5,4,0,the cell's own weighings,0,0
beef,ILOILO,IGBARAS,intestine,g,medium,2060,1,1,2,2060,1,1,2060,1,1,2060,1,1,,,,,1,
cabbage,ILOILO,IGBARAS,pieces or units,g,small,572.5,2,0,3,595,3,0,660,543,32,655,1306,73,595,3,0,cell pooled across sizes,0,0
cabbage,ILOILO,IGBARAS,pieces or units,g,medium,815,1,0,3,595,3,0,660,543,32,655,1306,73,595,3,0,cell pooled across sizes,0,0
camote,ILOILO,IGBARAS,bilog,g,small,75,3,0,3,140,7,2,140,296,116,140,509,195,140,7,2,cell pooled across sizes,0,.2857142857142857
