pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,has_mun_med,has_prov_med,has_unique,branch,n_points,n_points_conv
ILOILO,"crackers, cookies, buiscuits, chips/curls",BALASAN,pack,350,0,0,1,3,2,1
ILOILO,loaf bread,BALASAN,large packs,225,0,0,1,3,2,1
ILOILO,mango,BALASAN,pieces or units,50,0,0,1,3,3,1
ILOILO,mango,BALASAN,pieces or units,160,0,0,1,3,3,1
ILOILO,rice,BALASAN,gantang,260,0,0,1,1,2,1
ILOILO,"prawns, lobster, shrimp",BANATE,tumpok,100,0,0,1,3,2,1
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",BANATE,pack,50,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",BAROTAC NUEVO,long-neck,147.5,0,0,1,3,2,1
ILOILO,"prawns, lobster, shrimp",BAROTAC NUEVO,tumpok,100,0,0,1,3,2,1
ILOILO,rice,BAROTAC NUEVO,letse,150,0,0,1,1,3,1
ILOILO,rice,BAROTAC NUEVO,letse,173,0,0,1,1,3,1
ILOILO,fresh fish,BAROTAC VIEJO,pieces or units,20,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",BAROTAC VIEJO,long-neck,350,0,0,1,3,2,1
ILOILO,mango,BAROTAC VIEJO,pieces or units,30,0,0,1,3,2,1
ILOILO,loaf bread,BATAD,medium packs,45,0,0,1,3,2,1
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAD,pack,500,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",BINGAWAN,long-neck,150,0,0,1,3,2,1
ILOILO,"crackers, cookies, buiscuits, chips/curls",CABATUAN,pack,60,0,0,1,3,2,1
ILOILO,mango,CABATUAN,pieces or units,20,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",CALINOG,long-neck,150,0,0,1,3,3,1
ILOILO,"liquor (e.g, whisky, coconut wine)",CALINOG,long-neck,840,0,0,1,3,3,1
ILOILO,chicken,CARLES,whole (chicken),380,0,0,1,3,4,3
ILOILO,"crackers, cookies, buiscuits, chips/curls",CARLES,pack,55,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",CARLES,long-neck,260,0,0,1,3,2,1
ILOILO,loaf bread,CARLES,large packs,120,0,0,1,3,3,2
ILOILO,"crackers, cookies, buiscuits, chips/curls",CONCEPCION,pieces or units,80,0,0,1,3,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CONCEPCION,pieces or units,100,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",DUEAS,long-neck,980,0,0,1,3,2,1
ILOILO,"prawns, lobster, shrimp",DUEAS,tumpok,100,0,0,1,3,3,1
ILOILO,"prawns, lobster, shrimp",DUEAS,tumpok,200,0,0,1,3,3,1
ILOILO,rice,DUEAS,gantang,520,0,0,1,1,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",DUMANGAS,cone,60,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",DUMANGAS,long-neck,150,0,0,1,3,2,1
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",DUMANGAS,pack,225,0,0,1,3,2,1
ILOILO,fresh fish,ESTANCIA,pieces or units,60,0,0,1,3,2,1
ILOILO,mango,ESTANCIA,pieces or units,120,0,0,1,3,2,1
ILOILO,fresh fish,GUIMBAL,pieces or units,170,0,0,1,3,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",GUIMBAL,pieces or units,112,0,0,1,3,2,1
ILOILO,rice,GUIMBAL,salmon,540,0,0,1,1,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",JANIUAY,long-neck,150,0,0,1,3,2,1
ILOILO,mango,LAMBUNAO,pieces or units,25,0,0,1,3,2,1
ILOILO,"prawns, lobster, shrimp",LEGANES,tumpok,100,0,0,1,3,3,1
ILOILO,"prawns, lobster, shrimp",LEGANES,tumpok,200,0,0,1,3,3,1
