province,pull_municipal_city,cons_name,unit_lbl,harmonized_nsu_unit,fallback_harmonized_nsu_unit,fold_verdict,in_MS_as,freq_price,mn_item_unit_pairs,pn_item_unit_pairs,cause,cause_label,harmonizable,detail
AKLAN,LIBACAO,loaf bread,medium,,,safe-fold,,1,1.0,8.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,LIBACAO,loaf bread,small,,,fold(untested/minor-flag),,1,1.0,6.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,ALTAVAS,mango,binilog,,,safe-fold,,3,3.0,19.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,BURUANGA,"prawns, lobster, shrimp",tumpok,,,safe-fold,,1,1.0,46.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,LIBACAO,"prawns, lobster, shrimp",tumpok,,,safe-fold,,1,3.0,46.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,MADALAG,"prawns, lobster, shrimp",tumpok,,,safe-fold,,1,1.0,46.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,MALINAO,"prawns, lobster, shrimp",tumpok,,,safe-fold,,1,2.0,46.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,TANGALAN,"prawns, lobster, shrimp",tumpok,,,safe-fold,,2,1.0,46.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,bilog,pieces or units,reassigned-separate(item-specific),,1,3.0,8.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",lata,cans,,safe-fold,,2,1.0,2.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,BANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",binilog,pieces or units,,safe-fold,,1,9.0,138.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['putos']
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,bilog,pieces or units,reassigned-separate(item-specific),,1,3.0,8.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'lata', 'putos']"
AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",packs,pack,putos,keep-separate,,1,2.0,2.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,LIBACAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,bilog,pieces or units,reassigned-separate(item-specific),,2,1.0,8.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,MALAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",binilog,pieces or units,bilog,safe-fold,,1,8.0,138.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['bilog', 'putos']"
AKLAN,MALINAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",binilog,pieces or units,,safe-fold,,1,11.0,138.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['putos']
AKLAN,ALTAVAS,rice,ganta,,,safe-fold,,2,1.0,4.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,ALTAVAS,rice,letse,,,safe-fold,,2,1.0,2.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,BATAN,rice,ganta,,,safe-fold,,2,1.0,4.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,BURUANGA,rice,letse,,,safe-fold,,2,1.0,2.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,LIBACAO,rice,salmon,,,safe-fold,,1,2.0,2.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,MALAY,rice,ganta,,,safe-fold,,2,1.0,4.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,MALINAO,rice,ganta,,,safe-fold,,2,1.0,4.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
ANTIQUE,PANDAN,beef,patupa,,,identity(ungrouped),,1,1.0,1.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=heuristic
ANTIQUE,TIBIAO,beer,1 case,,,identity(ungrouped),,1,1.0,1.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
ANTIQUE,LIBERTAD,cabbage,pack,pack,,keep-separate,,1,1.0,2.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bilog']
ANTIQUE,LIBERTAD,cabbage,per pack,pack,,identity(ungrouped),,1,1.0,1.0,2,empty/uncommon,False,valid for item elsewhere (spelling-fold); cell has ['bilog']
ANTIQUE,HAMTIC,camote,tupok,tumpok,,safe-fold,,1,1.0,1.0,2,empty/uncommon,False,valid for item elsewhere (rename-fuzzy); cell has ['bilog']
ANTIQUE,BUGASONG,camote tops,bundle,bundle,bugkos,keep-separate,,1,59.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,CULASI,camote tops,bundle,bundle,bugkos,keep-separate,,1,24.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,HAMTIC,camote tops,bundle,bundle,bugkos,keep-separate,,1,22.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,LIBERTAD,camote tops,bundle,bundle,bugkos,keep-separate,,1,26.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,PANDAN,camote tops,bundle,bundle,bugkos,keep-separate,,1,14.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,PATNONGON,camote tops,bundle,bundle,bugkos,keep-separate,,1,45.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,SAN REMIGIO,camote tops,bundle,bundle,bugkos,keep-separate,,1,24.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,SEBASTE,camote tops,bundle,bundle,bugkos,keep-separate,,1,49.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,SIBALOM,camote tops,bundle,bundle,bugkos,keep-separate,,1,57.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,TIBIAO,camote tops,bundle,bundle,bugkos,keep-separate,,1,13.0,545.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
ANTIQUE,LIBERTAD,carrot,pack,pack,,keep-separate,,2,1.0,2.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bilog']
ANTIQUE,PANDAN,carrot,pack,pack,,keep-separate,,1,1.0,2.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bilog']
ANTIQUE,BARBAZA,chicken,bilog,bilog,whole (chicken),reassigned-separate(item-specific),,3,2.0,77.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['whole (chicken)']
