grp,pull_province,pull_item,harmonized_nsu_unit,gpp_med,cv_gpp,n_pairs,n_price,n_mun,estimable
"ANTIQUE preserved or processed meat (tocino, tapa, longaniza, etc) putos",ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,4.534636318654131,.6350531491661832,6,5,3,1
CAPIZ cabbage pieces or units,CAPIZ,cabbage,pieces or units,10.21428571428571,.1523456758507558,9,7,3,1
CAPIZ carrot pieces or units,CAPIZ,carrot,pieces or units,2.384615384615385,.1570586783866754,7,6,3,1
CAPIZ chicken bilog,CAPIZ,chicken,bilog,4.166956521739131,.1794122148109759,10,7,5,1
CAPIZ chicken whole (chicken),CAPIZ,chicken,whole (chicken),4.571428571428571,.1486019446189771,32,16,12,1
"CAPIZ crackers, cookies, buiscuits, chips/curls pieces or units",CAPIZ,"crackers, cookies, buiscuits, chips/curls",pieces or units,.7790668348045398,.3033171479806478,16,15,9,1
"CAPIZ crackers, cookies, buiscuits, chips/curls putos",CAPIZ,"crackers, cookies, buiscuits, chips/curls",putos,4.125,.3569440980737623,17,13,9,1
CAPIZ fresh fish pieces or units,CAPIZ,fresh fish,pieces or units,2.9375,.426013627955194,19,16,7,1
"CAPIZ ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1.466666666666667,1.057949424341498,6,6,6,1
"CAPIZ ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) putos",CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1.255128205128205,.2007923239732995,2,2,1,0
"CAPIZ ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3.5,.3530769434594865,5,4,4,1
"CAPIZ liquor (e.g, whisky, coconut wine) lipid/lapad",CAPIZ,"liquor (e.g, whisky, coconut wine)",lipid/lapad,5.357142857142857,.381599198200994,23,16,16,1
"CAPIZ liquor (e.g, whisky, coconut wine) long-neck",CAPIZ,"liquor (e.g, whisky, coconut wine)",long-neck,2.463054187192118,.0419087092897563,5,5,4,1
CAPIZ loaf bread large packs,CAPIZ,loaf bread,large packs,4.475524475524476,.303531529195524,23,19,10,1
CAPIZ loaf bread medium packs,CAPIZ,loaf bread,medium packs,6.019261637239165,.2157473348557329,8,7,6,1
CAPIZ loaf bread small packs,CAPIZ,loaf bread,small packs,6.75,.6366341072973978,6,6,5,1
CAPIZ mango pieces or units,CAPIZ,mango,pieces or units,3.179487179487179,.2954438237286314,3,3,1,0
"CAPIZ prawns, lobster, shrimp tumpok",CAPIZ,"prawns, lobster, shrimp",tumpok,2.5,,1,1,1,0
"CAPIZ preserved or processed meat (tocino, tapa, longaniza, etc) bilog",CAPIZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,3.611111111111111,.9271761299601827,5,5,3,1
"CAPIZ preserved or processed meat (tocino, tapa, longaniza, etc) putos",CAPIZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,3.470588235294118,.8071833597774747,21,13,13,1
ILOILO cabbage pieces or units,ILOILO,cabbage,pieces or units,12.15625,.3377971059954538,40,27,14,1
ILOILO camote bilog,ILOILO,camote,bilog,3.2,.0416666666666667,3,3,1,0
ILOILO carrot pieces or units,ILOILO,carrot,pieces or units,2.875,.3225619210695281,15,12,5,1
ILOILO chicken bilog,ILOILO,chicken,bilog,4.118421052631579,.2749655829309875,37,20,16,1
ILOILO chicken pieces or units,ILOILO,chicken,pieces or units,1.108333333333333,.7041708284040389,4,3,2,1
ILOILO chicken whole (chicken),ILOILO,chicken,whole (chicken),3.809879372738239,.2303437151375406,66,32,25,1
"ILOILO crackers, cookies, buiscuits, chips/curls pieces or units",ILOILO,"crackers, cookies, buiscuits, chips/curls",pieces or units,.84375,.5590017405823503,39,26,18,1
"ILOILO crackers, cookies, buiscuits, chips/curls putos",ILOILO,"crackers, cookies, buiscuits, chips/curls",putos,1.472,.7171551501990487,57,39,26,1
ILOILO fresh fish pack,ILOILO,fresh fish,pack,4.468888888888889,.263640793217834,6,5,4,1
ILOILO fresh fish pieces or units,ILOILO,fresh fish,pieces or units,3.15,.5574492849233514,58,29,21,1
"ILOILO ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1.727551020408163,.5484499874118975,22,20,14,1
"ILOILO ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) putos",ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,2.125,2.081701871244471,7,7,4,1
"ILOILO ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3.125,.4736502394721013,21,17,11,1
"ILOILO liquor (e.g, whisky, coconut wine) lipid/lapad",ILOILO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,3.681120144534779,.4264443011096872,50,23,40,1
"ILOILO liquor (e.g, whisky, coconut wine) long-neck",ILOILO,"liquor (e.g, whisky, coconut wine)",long-neck,3.260869565217391,.2863521852207436,11,10,8,1
ILOILO loaf bread large packs,ILOILO,loaf bread,large packs,4.431044498663878,.299066903922372,48,35,29,1
ILOILO loaf bread medium packs,ILOILO,loaf bread,medium packs,6.333333333333333,.1313040632730494,17,11,13,1
ILOILO loaf bread small packs,ILOILO,loaf bread,small packs,8.884550084889643,.3761804287742443,22,17,17,1
ILOILO loaf bread tama-tama nga putos,ILOILO,loaf bread,tama-tama nga putos,4.557692307692307,.2145084300471715,4,3,4,1
ILOILO mango pieces or units,ILOILO,mango,pieces or units,3.35,.3971532262110496,23,17,9,1
"ILOILO prawns, lobster, shrimp tumpok",ILOILO,"prawns, lobster, shrimp",tumpok,4.55,.5502670689212777,10,4,6,1
"ILOILO preserved or processed meat (tocino, tapa, longaniza, etc) bilog",ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1.373469387755102,.6062423058277026,8,8,5,1
"ILOILO preserved or processed meat (tocino, tapa, longaniza, etc) cans",ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,4.198423836769945,.2985521560062512,2,2,1,0
"ILOILO preserved or processed meat (tocino, tapa, longaniza, etc) pack",ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,4.166666666666667,.235872576531856,3,2,1,0
"ILOILO preserved or processed meat (tocino, tapa, longaniza, etc) putos",ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,3.333333333333333,.4137080058826432,55,34,28,1
NEGROS OCCIDENTAL cabbage pieces or units,NEGROS OCCIDENTAL,cabbage,pieces or units,11.86666666666667,.2308577612347198,5,5,3,1
NEGROS OCCIDENTAL carrot pieces or units,NEGROS OCCIDENTAL,carrot,pieces or units,2.857142857142857,,1,1,1,0
NEGROS OCCIDENTAL chicken bilog,NEGROS OCCIDENTAL,chicken,bilog,4.096153846153846,.3111995068630821,23,16,10,1
NEGROS OCCIDENTAL chicken whole (chicken),NEGROS OCCIDENTAL,chicken,whole (chicken),4.17065772669221,.2226920318233067,22,19,9,1
NEGROS OCCIDENTAL fresh fish pieces or units,NEGROS OCCIDENTAL,fresh fish,pieces or units,3.075,.1571348402636772,2,2,1,0
"NEGROS OCCIDENTAL ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",NEGROS OCCIDENTAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2.346938775510204,.9651883825720137,11,11,7,1
"NEGROS OCCIDENTAL ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) putos",NEGROS OCCIDENTAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,2.285714285714286,,1,1,1,0
"NEGROS OCCIDENTAL ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",NEGROS OCCIDENTAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3.484848484848485,.0706188703721722,4,4,4,1
"NEGROS OCCIDENTAL liquor (e.g, whisky, coconut wine) lipid/lapad",NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",lipid/lapad,3.75,.2762487176130312,15,14,13,1
"NEGROS OCCIDENTAL liquor (e.g, whisky, coconut wine) long-neck",NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",long-neck,3.75,,1,1,1,0
NEGROS OCCIDENTAL loaf bread large packs,NEGROS OCCIDENTAL,loaf bread,large packs,4.071549893842887,.1388083978283285,4,4,4,1
NEGROS OCCIDENTAL loaf bread medium packs,NEGROS OCCIDENTAL,loaf bread,medium packs,6.0125,.3296890241281063,4,4,4,1
NEGROS OCCIDENTAL loaf bread small packs,NEGROS OCCIDENTAL,loaf bread,small packs,5.823076923076923,.1365639301701715,4,4,3,1
"NEGROS OCCIDENTAL prawns, lobster, shrimp tumpok",NEGROS OCCIDENTAL,"prawns, lobster, shrimp",tumpok,2.05,.1087097364074577,3,3,1,0
"NEGROS OCCIDENTAL preserved or processed meat (tocino, tapa, longaniza, etc) bilog",NEGROS OCCIDENTAL,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1.136363636363636,.963779122348502,5,5,5,1
"NEGROS OCCIDENTAL preserved or processed meat (tocino, tapa, longaniza, etc) putos",NEGROS OCCIDENTAL,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,2.5,.655705169200147,21,13,17,1
