"row id; same id space as hh_row in psps_households.dta","household identifier","PSPS item code","acquisition slot: 2 purchased, 3 own production, 4 gift","acquisition route: purchased, own_production, or gift","province","municipality","food item","unit as the household reported it","harmonized market-survey unit; blank where none applies","quantity reported, in the unit named by pull_nsu_unit","implied unit value, PHP per unit; all acquisition modes (A10)","grams (or mL) per unit for this household's row","q_h * cf_h; total grams for this row; missing if not converted","20a conversion path: 1 standard unit, 2 NSU, 3 not an NSU","how this row got its grams, or why it did not","1 = this row has a gram figure","0 matched or standard-unit; 1-3 a borrowed rung; missing if unconverted","1 = the household price ratio was clamped to t=5 (conv_path 2 only)","1 = no computable unit value on this row (e_h or q_h absent)","weighings behind cf_h, at the level used; missing off conv_path 2","1 = fewer than 3 weighings behind the estimate; treat as uncertain","hetero-blind: grams in one unit of this NSU, cell pooled across hetero-groups","hetero-blind: q_h * cf_h_blind -- the no-price-matching counterfactual","hetero-blind: dimension of cf_h_blind (1 = g, 2 = mL)","hetero-blind rung: 1 cell pooled, 2 province, 3 regional (never 0)","hetero-blind: how this row got its grams, or why it did not","hetero-blind: weighings behind cf_h_blind","1 = the hetero-blind ladder produced grams for this row"
13755,H002369,veg_3,3,own_production,CAPIZ,DUMARAO,camote tops,bugkos,bugkos,1,10,87.5,87.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,210,210,1,2,blind: cell pooled,51,1
13756,H002370,fish_1,2,purchased,NEGROS OCCIDENTAL,CALATRAVA,fresh fish,kilograms (kg),,1,240,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13757,H002370,grain_1,2,purchased,NEGROS OCCIDENTAL,CALATRAVA,rice,kilograms (kg),,12,57,1000,12000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13758,H002370,grain_2,2,purchased,NEGROS OCCIDENTAL,CALATRAVA,loaf bread,medium nga pakete,medium packs,1,35,,,NSU via market survey,refused: A11 spelling gap,0,,0,0,,,,,,,refused: A11 spelling gap,,0
13759,H002370,sweet_1,2,purchased,NEGROS OCCIDENTAL,CALATRAVA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",bilog,pieces or units,7,5,22,154,NSU via market survey,matched price point,1,the cell's own weighings,1,0,2,1,110,770,2,1,blind: cell pooled,3,1
13760,H002370,veg_3,3,own_production,NEGROS OCCIDENTAL,CALATRAVA,camote tops,bundle,bundle,3,10,126.25,378.75,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,252.5,757.5,1,1,blind: cell pooled,4,1
13761,H002371,fish_1,2,purchased,ILOILO,TIGBAUAN,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13762,H002371,grain_1,3,own_production,ILOILO,TIGBAUAN,rice,gantang,,1,140,2250,2250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13763,H002371,sweet_1,2,purchased,ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",gamay nga cup,small cup,1,10,28.23529411764706,28.23529411764706,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,180,180,1,1,blind: cell pooled,5,1
13764,H002371,veg_3,3,own_production,ILOILO,TIGBAUAN,camote tops,bugkos,bugkos,1,15,230.2557837378278,230.2557837378278,NSU via market survey,matched price point,1,the cell's own weighings,0,0,9,0,145,145,1,1,blind: cell pooled,9,1
13765,H002372,bev_1,3,own_production,ANTIQUE,TIBIAO,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,4,20,18927.1,75708.39999999999,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13766,H002372,fish_1,2,purchased,ANTIQUE,TIBIAO,fresh fish,kilograms (kg),,1,120,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13767,H002372,grain_1,2,purchased,ANTIQUE,TIBIAO,rice,gantang,,3,100,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13768,H002373,bev_1,2,purchased,ILOILO,SAN DIONISIO,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,3,30,18927.1,56781.3,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13769,H002373,fish_1,2,purchased,ILOILO,SAN DIONISIO,fresh fish,kilograms (kg),,3,200,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13770,H002373,grain_1,2,purchased,ILOILO,SAN DIONISIO,rice,gantang,,3,130,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13771,H002373,meat_4,2,purchased,ILOILO,SAN DIONISIO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,3,46.66666666666666,233.3333333333333,700,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,250,750,1,2,blind: cell pooled,182,1
13772,H002374,bev_1,2,purchased,ILOILO,ZARRAGA,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,1,25,18927.1,18927.1,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13773,H002374,bev_3,2,purchased,ILOILO,ZARRAGA,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,80,375,375,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,375,375,2,1,blind: cell pooled,5,1
13774,H002374,fish_1,2,purchased,ILOILO,ZARRAGA,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13775,H002374,fruit_1,3,own_production,ILOILO,ZARRAGA,mango,kilograms (kg),,2,70,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13776,H002374,grain_1,2,purchased,ILOILO,ZARRAGA,rice,gantang,,5,121,2250,11250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13777,H002374,meat_4,2,purchased,ILOILO,ZARRAGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,3,45,209.3023255813954,627.9069767441861,NSU via market survey,matched price point,1,the cell's own weighings,0,0,11,0,250,750,1,1,blind: cell pooled,11,1
13778,H002374,veg_3,3,own_production,ILOILO,ZARRAGA,camote tops,bugkos,bugkos,2,15,271.0745415944126,542.1490831888252,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,172.5,345,1,1,blind: cell pooled,4,1
13779,H002375,bev_3,4,gift,AKLAN,MADALAG,"liquor (e.g, whisky, coconut wine)",gallons,,1,80,3785.41,3785.41,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13780,H002375,fish_1,2,purchased,AKLAN,MADALAG,fresh fish,binilog,pieces or units,1,80,304.3478260869566,304.3478260869566,NSU via market survey,matched price point,1,the cell's own weighings,0,0,12,0,437.5,437.5,1,1,blind: cell pooled,12,1
13781,H002375,grain_1,2,purchased,AKLAN,MADALAG,rice,gantang,,2,150,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13782,H002375,veg_3,3,own_production,AKLAN,MADALAG,camote tops,bundle,bundle,1,10,790,790,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,35,0,790,790,1,2,blind: province pool,35,1
13783,H002376,fish_1,2,purchased,ANTIQUE,TOBIAS FORNIER,fresh fish,kilograms (kg),,2,120,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13784,H002376,grain_1,2,purchased,ANTIQUE,TOBIAS FORNIER,rice,gantang,,5,120,2250,11250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13785,H002376,veg_3,3,own_production,ANTIQUE,TOBIAS FORNIER,camote tops,bugkos,bugkos,1,10,95,95,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,190,190,1,1,blind: cell pooled,5,1
13786,H002376,veg_4,3,own_production,ANTIQUE,TOBIAS FORNIER,camote,kilograms (kg),,1,60,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13787,H002377,fish_1,2,purchased,ILOILO,LAMBUNAO,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13788,H002377,grain_1,3,own_production,ILOILO,LAMBUNAO,rice,gantang,,4,100,2250,9000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13789,H002377,veg_3,3,own_production,ILOILO,LAMBUNAO,camote tops,bugkos,bugkos,1,10,78,78,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,195,195,1,1,blind: cell pooled,7,1
