pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,corrected_unit,cf_blind,fallback_level,n_g_used,d_thin,d_unconvertible
AKLAN,MALINAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,6,0,0
AKLAN,MALINAO,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,14,0,0
AKLAN,MALINAO,loaf bread,large packs,g,620,cell pooled across sizes,5,0,0
AKLAN,MALINAO,loaf bread,medium packs,g,450,cell pooled across sizes,6,0,0
AKLAN,MALINAO,loaf bread,small packs,g,360,province x item x unit,33,0,0
AKLAN,MALINAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,200,cell pooled across sizes,3,0,0
AKLAN,NABAS,cabbage,pieces or units,g,832.5,cell pooled across sizes,20,0,0
AKLAN,NABAS,camote tops,bugkos,g,140,cell pooled across sizes,5,0,0
AKLAN,NABAS,carrot,pieces or units,g,150,cell pooled across sizes,23,0,0
AKLAN,NABAS,chicken,pieces or units,g,140,cell pooled across sizes,9,0,0
AKLAN,NABAS,chicken,whole (chicken),g,1110,cell pooled across sizes,9,0,0
AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,cell pooled across sizes,4,0,0
AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,650,cell pooled across sizes,4,0,0
AKLAN,NABAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,3,0,0
AKLAN,NABAS,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,10,0,0
AKLAN,NABAS,loaf bread,large packs,g,640,province x item x unit,43,0,0
AKLAN,NABAS,loaf bread,medium packs,g,345,cell pooled across sizes,3,0,0
AKLAN,NABAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,province x item x unit,28,0,0
AKLAN,NABAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,360,province x item x unit,81,0,0
AKLAN,NEW WASHINGTON,cabbage,pieces or units,g,647.5,cell pooled across sizes,26,0,0
AKLAN,NEW WASHINGTON,camote tops,bugkos,g,115,cell pooled across sizes,5,0,0
AKLAN,NEW WASHINGTON,camote tops,bundle,g,560,cell pooled across sizes,5,0,0
AKLAN,NEW WASHINGTON,carrot,pieces or units,g,150,cell pooled across sizes,21,0,0
