statistic,grouping,level,value
avg_weighings_per_case_by_weighing_approach,weighing_approach_lbl,"Price-quantity based (lower, median, higher price)",3.775
avg_weighings_per_case_by_weighing_approach,weighing_approach_lbl,"Size-based (small, medium, large)",6.2300319488817895
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,conventional_nsu,123.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,large_size,812.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,medium_size,974.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,mp25_price,24.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,mp50_price,35.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,mp75_price,23.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,municipality_median,149.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,province_median,128.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,small_size,1147.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,unique_mun_price6,12.0
n_cases_with_ge1_obs_by_hetero_type,hetero_lbl,unique_mun_price7,1.0
n_cases_multi_hetero_type,overall,all,850.0
avg_weighings_per_case_by_hetero_type,hetero_lbl,conventional_nsu,3.8048780487804876
avg_weighings_per_case_by_hetero_type,hetero_lbl,large_size,3.2032019704433496
avg_weighings_per_case_by_hetero_type,hetero_lbl,medium_size,3.4110996916752314
avg_weighings_per_case_by_hetero_type,hetero_lbl,mp25_price,3.0416666666666665
avg_weighings_per_case_by_hetero_type,hetero_lbl,mp50_price,3.0
avg_weighings_per_case_by_hetero_type,hetero_lbl,mp75_price,3.090909090909091
avg_weighings_per_case_by_hetero_type,hetero_lbl,municipality_median,3.563758389261745
avg_weighings_per_case_by_hetero_type,hetero_lbl,province_median,3.1328125
avg_weighings_per_case_by_hetero_type,hetero_lbl,small_size,3.3449781659388647
avg_weighings_per_case_by_hetero_type,hetero_lbl,unique_mun_price6,2.5833333333333335
avg_weighings_per_case_by_hetero_type,hetero_lbl,unique_mun_price7,2.0
weight_corrected_n,item | unit,beef | g,8.0
weight_corrected_mean,item | unit,beef | g,1100.625
weight_corrected_median,item | unit,beef | g,1192.5
weight_corrected_sd,item | unit,beef | g,525.4211745964238
weight_corrected_min,item | unit,beef | g,510.0
weight_corrected_max,item | unit,beef | g,2060.0
weight_corrected_n,item | unit,beer | mL,2.0
weight_corrected_mean,item | unit,beer | mL,4440.0
weight_corrected_median,item | unit,beer | mL,4440.0
weight_corrected_sd,item | unit,beer | mL,4582.051942088828
weight_corrected_min,item | unit,beer | mL,1200.0
weight_corrected_max,item | unit,beer | mL,7680.0
weight_corrected_n,item | unit,cabbage | g,1412.0
