pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,PANDAN,putos,g,29.16666666666667,1,0,52.5,2,.5555555555555556,-.255272505103306
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,PANDAN,small cup,g,55,3,0,165,2,.3333333333333333,-.4771212547196624
"liquor (e.g, whisky, coconut wine)",ANTIQUE,PANDAN,glass,mL,250,1,0,750,1,.3333333333333333,-.4771212547196624
"liquor (e.g, whisky, coconut wine)",ANTIQUE,PANDAN,lipid/lapad,mL,339.84375,10,0,375,6,.90625,-.0427519804209499
"liquor (e.g, whisky, coconut wine)",ANTIQUE,PANDAN,long-neck,mL,761.1940298507462,4,0,750,6,1.014925373134328,.0064341100054099
loaf bread,ANTIQUE,PANDAN,small packs,g,114.2857142857143,7,2,400,1,.2857142857142858,-.5440680443502756
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,PANDAN,putos,g,181.8181818181818,22,0,200,5,.9090909090909092,-.041392685158225
cabbage,ANTIQUE,PATNONGON,pieces or units,g,637.5,4,0,765,13,.8333333333333334,-.0791812460476248
cabbage,ANTIQUE,PATNONGON,putos (mix vegetable),g,225,1,0,225,3,1,0
camote,ANTIQUE,PATNONGON,bilog,g,66.66666666666667,3,0,200,14,.3333333333333334,-.4771212547196623
camote,ANTIQUE,PATNONGON,tumpok,g,1065,3,0,1065,9,1,0
camote tops,ANTIQUE,PATNONGON,bugkos,g,145,153,0,290,9,.5,-.3010299956639811
carrot,ANTIQUE,PATNONGON,pieces or units,g,62.85714285714286,12,0,117.5,15,.5349544072948329,-.2716832301358244
carrot,ANTIQUE,PATNONGON,putos (mix vegetable),g,185,1,0,185,4,1,0
chicken,ANTIQUE,PATNONGON,pieces or units,g,492.4999999999999,5,0,570,4,.8640350877192982,-.0634686208388609
chicken,ANTIQUE,PATNONGON,whole (chicken),g,1077.5,24,0,1177.5,4,.9150743099787686,-.0385436369681646
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,PATNONGON,pieces or units,g,6.5,9,0,31,7,.2096774193548387,-.678448337191417
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,PATNONGON,putos,g,160,17,0,300,6,.5333333333333333,-.2730012720637376
fresh fish,ANTIQUE,PATNONGON,pieces or units,g,714.5714285714286,2,0,610,7,1.171428571428571,.0687158123694599
fresh fish,ANTIQUE,PATNONGON,tumpok,g,262.5,2,0,525,1,.5,-.3010299956639811
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,PATNONGON,putos,g,13.33333333333333,3,0,60,5,.2222222222222222,-.6532125137753436
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,PATNONGON,small cup,g,50,7,0,100,3,.5,-.3010299956639811
"liquor (e.g, whisky, coconut wine)",ANTIQUE,PATNONGON,lipid/lapad,mL,352.9411764705882,40,0,375,7,.9411764705882353,-.0263289387223491
"liquor (e.g, whisky, coconut wine)",ANTIQUE,PATNONGON,long-neck,mL,714.2857142857143,3,0,750,7,.9523809523809524,-.021189299069938
loaf bread,ANTIQUE,PATNONGON,large packs,g,560.4324324324324,7,0,640,3,.8756756756756756,-.0576567138603829
loaf bread,ANTIQUE,PATNONGON,medium packs,g,450,14,0,450,3,1,0
loaf bread,ANTIQUE,PATNONGON,small packs,g,326.0869565217392,3,0,375,3,.8695652173913044,-.0606978403536116
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,PATNONGON,putos,g,144.6428571428571,68,0,225,5,.6428571428571428,-.1918855262389132
cabbage,ANTIQUE,SAN REMIGIO,pieces or units,g,500,17,0,655,9,.7633587786259542,-.1172712956557642
camote,ANTIQUE,SAN REMIGIO,bilog,g,23,1,0,125,13,.184,-.7351821769904634
camote,ANTIQUE,SAN REMIGIO,tumpok,g,1052.5,1,0,1052.5,4,1,0
camote tops,ANTIQUE,SAN REMIGIO,bugkos,g,115,195,0,230,6,.5,-.3010299956639811
carrot,ANTIQUE,SAN REMIGIO,pieces or units,g,82.5,15,0,165,9,.5,-.3010299956639811
chicken,ANTIQUE,SAN REMIGIO,bilog,g,729.8,2,0,890,4,.82,-.0861861476162833
chicken,ANTIQUE,SAN REMIGIO,pieces or units,g,210,16,1,210,3,1,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SAN REMIGIO,pieces or units,g,6,3,0,35,9,.1714285714285714,-.7659167939666319
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SAN REMIGIO,putos,g,29.76,15,0,30,9,.9919999999999999,-.0034883278458214
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SAN REMIGIO,pieces or units,g,87.48494826129837,27,0,90,3,.972054980681093,-.0123091701240161
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SAN REMIGIO,putos,mL,23.14285714285714,2,0,60,1,.3857142857142857,-.4137342758552695
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SAN REMIGIO,small cup,mL,34.04255319148936,15,0,100,1,.3404255319148936,-.4679778752797926
"liquor (e.g, whisky, coconut wine)",ANTIQUE,SAN REMIGIO,lipid/lapad,mL,358.2089552238806,60,1,375,8,.9552238805970149,-.0198948287169393
"liquor (e.g, whisky, coconut wine)",ANTIQUE,SAN REMIGIO,long-neck,mL,725.8064516129032,6,0,750,8,.9677419354838709,-.0142404391146103
loaf bread,ANTIQUE,SAN REMIGIO,large packs,g,426.6666666666666,8,0,640,3,.6666666666666666,-.1760912590556812
loaf bread,ANTIQUE,SAN REMIGIO,medium packs,g,433.3333333333334,11,0,450,4,.962962962962963,-.0163904161881693
loaf bread,ANTIQUE,SAN REMIGIO,small packs,g,852.1682933036968,3,0,367.5,2,2.318825287901216,.365268027914049
mango,ANTIQUE,SAN REMIGIO,pieces or units,g,65.33333333333334,2,0,245,7,.2666666666666667,-.5740312677277187
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,SAN REMIGIO,bilog,g,126.9638005017474,1,0,62.5,2,2.031420808027958,.3077998966566054
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,SAN REMIGIO,putos,g,178.5714285714286,44,0,250,4,.7142857142857142,-.1461280356782381
cabbage,ANTIQUE,SEBASTE,pieces or units,g,734.9999999999999,7,0,742.5,17,.9898989898989897,-.0044091189050551
camote tops,ANTIQUE,SEBASTE,bugkos,g,115,54,0,230,3,.5,-.3010299956639811
carrot,ANTIQUE,SEBASTE,pieces or units,g,65.71428571428571,13,0,135,15,.4867724867724867,-.3126739768276889
chicken,ANTIQUE,SEBASTE,whole (chicken),g,736,9,0,920,1,.8,-.0969100130080564
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SEBASTE,pieces or units,g,6.2,13,0,31,7,.2,-.6989700043360187
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SEBASTE,putos,g,24.1112828438949,22,0,62.5,13,.3857805255023184,-.4136596996583139
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SEBASTE,pieces or units,mL,63.4099414400843,9,0,100,3,.6340994144008431,-.1978426478895247
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SEBASTE,putos,mL,12.66666666666667,2,0,60,4,.2111111111111111,-.6754889084864958
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SEBASTE,small cup,mL,36.66666666666667,4,0,110,4,.3333333333333334,-.4771212547196623
"liquor (e.g, whisky, coconut wine)",ANTIQUE,SEBASTE,lipid/lapad,mL,362.0689655172414,19,0,375,5,.9655172413793104,-.0152399665567368
