id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weight,unit,w1,w3,ratio,review_step1,cell_med,cell_n
9614.0,ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,0.345,2,34.0,345.0,10.147058823529411,1,85.0,232.0
8049.0,ILOILO,MAASIN,carrot,pieces or units,0.355,2,35.0,355.0,10.142857142857142,1,135.0,1139.0
7566.0,ILOILO,LAMBUNAO,camote,bilog,0.355,2,35.0,355.0,10.142857142857142,1,125.0,413.0
5620.0,ILOILO,BANATE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.355,2,35.0,355.0,10.142857142857142,0,60.0,173.0
9532.0,ILOILO,SANTA BARBARA,camote,bilog,0.385,2,38.0,385.0,10.131578947368421,0,125.0,413.0
5294.0,ILOILO,ANILAO,cabbage,pack 25 per pack in the market,0.385,2,38.0,385.0,10.131578947368421,1,287.5,4.0
6114.0,ILOILO,CABATUAN,camote,bilog,0.445,2,44.0,445.0,10.113636363636363,0,125.0,413.0
5462.0,ILOILO,BADIANGAN,pork,slice,0.445,2,44.0,445.0,10.113636363636363,1,160.0,1.0
11080.0,NEGROS OCCIDENTAL,PONTEVEDRA,camote,bilog,0.475,2,47.0,475.0,10.106382978723405,0,125.0,413.0
5143.0,ILOILO,ALIMODIAN,carrot,pieces or units,0.575,2,57.0,575.0,10.087719298245615,0,135.0,1139.0
2565.0,ANTIQUE,PANDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,0.645,2,64.0,645.0,10.078125,0,85.0,232.0
10513.0,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),camote tops,bugkos,0.645,2,64.0,645.0,10.078125,1,195.0,408.0
9619.0,ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.655,2,65.0,655.0,10.076923076923077,0,60.0,173.0
9383.0,ILOILO,SAN MIGUEL,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,0.695,2,69.0,695.0,10.072463768115941,1,250.0,195.0
9533.0,ILOILO,SANTA BARBARA,camote,bilog,0.695,2,69.0,695.0,10.072463768115941,0,125.0,413.0
806.0,AKLAN,MAKATO,camote tops,bundle,0.755,2,75.0,755.0,10.066666666666666,1,290.0,72.0
